Metric Name,cifar10 Avg. Acc. Diff,cifar10 Avg. Top-10 Acc. Count,cifar10 Avg. Best Model Pos.,cifar100 Avg. Acc. Diff,cifar100 Avg. Top-10 Acc. Count,cifar100 Avg. Best Model Pos.,ImageNet16-120 Avg. Acc. Diff,ImageNet16-120 Avg. Top-10 Acc. Count,ImageNet16-120 Avg. Best Model Pos.
epe_nas,3.0305199999999997,0.385,262.3,6.947779981555177,0.349,277.458,7.967066646575928,0.083,364.226
fisher,5.12354,0.001,664.064,10.386999979516604,0.04,653.873,21.14269997870954,0.031,512.85
grad_norm,4.95359,0.029,529.052,10.122659977832033,0.126,497.272,20.70966664686775,0.179,376.013
grasp,4.530779999999999,0.0,406.287,9.223579984118652,0.082,440.539,16.41499999648158,0.226,278.773
jacov,2.7288200000000007,0.31,174.956,4.526319992474368,0.542,149.816,6.304233301361084,0.266,158.866
l2_norm,1.705599999999999,0.262,108.927,2.8698199813476557,1.063,63.511,2.273566656575521,1.931,73.879
nwot,1.6667499999999993,0.068,101.094,2.802479969830323,0.846,67.9,2.3139666615193684,1.544,74.341
plain,7.217490000000001,0.0,631.874,11.607819978179934,0.001,606.4,16.497933316880545,0.131,694.852
snip,4.92359,0.005,523.051,10.154559989123536,0.212,489.054,20.37039997641055,0.322,359.025
synflow,1.3090999999999995,1.333,35.881,2.3381600140686047,2.433,28.839,4.676966672144572,2.198,34.102
zen,5.964599999999999,0.0,91.674,9.906079988708498,0.0,65.931,10.854366650700886,0.0,115.618
flops,1.3094899999999996,0.447,69.103,2.22055999546509,1.342,36.8,5.246099988306682,1.015,56.542
params,1.3459299999999994,0.551,62.727,2.289040000402834,1.432,34.436,5.244166659917195,0.958,55.236
NonLinearModel,4.551450252532959,0.009,52.889,2.4851205348968506,0.011,34.746,1.5717332363128662,0.015,57.756
LinearModel,42.85764694213867,0.01,543.017,71.7619857788086,0.013,96.08,45.907535552978516,0.011,66.377
XGBoost,0.1573595553636551,5.79,3.957,0.22015994787216187,6.571,2.891,0.5242664813995361,5.647,7.331
