Metric Name,cifar10 Avg. Acc. Diff,cifar10 Avg. Top-10 Acc. Count,cifar10 Avg. Best Model Pos.,cifar100 Avg. Acc. Diff,cifar100 Avg. Top-10 Acc. Count,cifar100 Avg. Best Model Pos.,ImageNet16-120 Avg. Acc. Diff,ImageNet16-120 Avg. Top-10 Acc. Count,ImageNet16-120 Avg. Best Model Pos.
epe_nas,3.037359999999999,0.33,274.161,6.820019982104493,0.33,296.575,7.7413333118998215,0.079,356.587
fisher,5.04603,0.0,662.334,10.523079979138185,0.053,647.756,20.13106665070216,0.03,489.77
grad_norm,4.929249999999999,0.023,529.521,9.977239980004883,0.156,495.709,20.249299980663935,0.206,360.911
grasp,4.579909999999999,0.001,421.787,9.028279985400392,0.072,440.429,17.010099995367053,0.19,287.524
jacov,2.72937,0.319,178.354,4.495659990032962,0.577,152.692,6.237966636291503,0.264,159.228
l2_norm,1.719889999999999,0.275,99.175,2.8022399794189448,1.038,59.799,2.4629666554260257,1.9,68.803
nwot,1.6940399999999995,0.069,94.211,2.7787799750610365,0.841,67.106,2.280899994267782,1.497,70.854
plain,7.6630400000000005,0.0,639.589,11.358259975976566,0.003,604.608,16.09849998069954,0.118,678.811
snip,4.893599999999999,0.005,524.293,10.116259974426272,0.222,491.865,19.961399979557033,0.291,361.194
synflow,1.3193599999999994,1.284,37.557,2.3111200149719244,2.402,30.472,4.90406666788737,2.172,30.428
zen,5.872009999999999,0.0,94.072,10.04703998711548,0.0,65.562,10.808599976613364,0.0,115.11
flops,1.3430999999999995,0.476,69.533,2.2212399948059107,1.388,37.636,5.213166651723226,0.956,53.669
params,1.2910199999999994,0.556,62.337,2.245899995483401,1.485,35.27,5.166699987803141,1.047,54.211
NonLinearModel,14.67544937133789,0.008,51.877,6.429759979248047,0.011,33.552,1.5665662288665771,0.009,21.824
LinearModel,81.09223175048828,0.011,589.035,71.58927917480469,0.01,61.304,45.929664611816406,0.015,30.682
XGBoost,0.2329290807247162,4.851,3.648,0.507599413394928,5.708,6.615,1.4454333782196045,4.914,7.694
