x_exp_width,x_man_width,x_row,x_col,x_row_depth,x_col_depth,w_exp_width,w_man_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,72,72,2.607,0,2,151,212,0,
1,2,1,1,8,8,1,2,72,72,2.607,0,2,152,212,0,
1,3,1,1,8,8,1,3,72,72,2.607,0,2,153,212,0,
1,4,1,1,8,8,1,4,72,72,2.607,0,2,154,212,0,
1,5,1,1,8,8,1,5,72,72,2.607,0,2,155,212,0,
1,6,1,1,8,8,1,6,72,72,2.607,0,2,156,212,0,
1,7,1,1,8,8,1,7,72,72,2.607,0,2,157,212,0,
1,8,1,1,8,8,1,8,72,72,2.607,0,2,158,212,0,
2,1,1,1,8,8,2,1,72,72,2.607,0,2,152,212,0,
2,2,1,1,8,8,2,2,72,72,2.607,0,2,153,212,0,
2,3,1,1,8,8,2,3,72,72,2.607,0,2,154,212,0,
2,4,1,1,8,8,2,4,72,72,2.607,0,2,155,212,0,
2,5,1,1,8,8,2,5,72,72,2.607,0,2,156,212,0,
2,6,1,1,8,8,2,6,72,72,2.607,0,2,157,212,0,
2,7,1,1,8,8,2,7,72,72,2.607,0,2,158,212,0,
2,8,1,1,8,8,2,8,72,72,2.607,0,2,159,212,0,
3,1,1,1,8,8,3,1,72,72,2.607,0,2,153,212,0,
3,2,1,1,8,8,3,2,72,72,2.607,0,2,154,212,0,
3,3,1,1,8,8,3,3,72,72,2.607,0,2,155,212,0,
3,4,1,1,8,8,3,4,72,72,2.607,0,2,156,212,0,
3,5,1,1,8,8,3,5,72,72,2.607,0,2,157,212,0,
3,6,1,1,8,8,3,6,72,72,2.607,0,2,158,212,0,
3,7,1,1,8,8,3,7,72,72,2.607,0,2,159,212,0,
3,8,1,1,8,8,3,8,72,72,2.607,0,2,160,212,0,
4,1,1,1,8,8,4,1,72,72,2.607,0,2,154,212,0,
4,2,1,1,8,8,4,2,72,72,2.607,0,2,155,212,0,
4,3,1,1,8,8,4,3,72,72,2.607,0,2,156,212,0,
4,4,1,1,8,8,4,4,72,72,2.607,0,2,157,212,0,
4,5,1,1,8,8,4,5,72,72,2.607,0,2,158,212,0,
4,6,1,1,8,8,4,6,72,72,2.607,0,2,159,212,0,
4,7,1,1,8,8,4,7,72,72,2.607,0,2,160,212,0,
4,8,1,1,8,8,4,8,72,72,2.607,0,2,161,212,0,
5,1,1,1,8,8,5,1,72,72,2.607,0,2,155,212,0,
5,2,1,1,8,8,5,2,72,72,2.607,0,2,156,212,0,
5,3,1,1,8,8,5,3,72,72,2.607,0,2,157,212,0,
5,4,1,1,8,8,5,4,72,72,2.607,0,2,158,212,0,
5,5,1,1,8,8,5,5,72,72,2.607,0,2,159,212,0,
5,6,1,1,8,8,5,6,72,72,2.607,0,2,160,212,0,
5,7,1,1,8,8,5,7,72,72,2.607,0,2,161,212,0,
5,8,1,1,8,8,5,8,72,72,2.607,0,2,162,212,0,
6,1,1,1,8,8,6,1,76,76,2.342,0,2,405,298,0,
6,2,1,1,8,8,6,2,76,76,2.342,0,2,406,298,0,
6,3,1,1,8,8,6,3,76,76,2.342,0,2,407,298,0,
6,4,1,1,8,8,6,4,76,76,2.342,0,2,408,298,0,
6,5,1,1,8,8,6,5,76,76,2.342,0,2,409,298,0,
6,6,1,1,8,8,6,6,76,76,2.342,0,2,410,298,0,
6,7,1,1,8,8,6,7,76,76,2.342,0,2,411,298,0,
6,8,1,1,8,8,6,8,76,76,2.342,0,2,412,298,0,
7,1,1,1,8,8,7,1,76,76,2.342,0,2,406,298,0,
7,2,1,1,8,8,7,2,76,76,2.342,0,2,407,298,0,
7,3,1,1,8,8,7,3,76,76,2.342,0,2,408,298,0,
7,4,1,1,8,8,7,4,76,76,2.342,0,2,409,298,0,
7,5,1,1,8,8,7,5,76,76,2.342,0,2,410,298,0,
7,6,1,1,8,8,7,6,76,76,2.342,0,2,411,298,0,
7,7,1,1,8,8,7,7,76,76,2.342,0,2,412,298,0,
7,8,1,1,8,8,7,8,76,76,2.342,0,2,413,298,0,
8,1,1,1,8,8,8,1,76,76,2.342,0,2,407,298,0,
8,2,1,1,8,8,8,2,76,76,2.342,0,2,408,298,0,
8,3,1,1,8,8,8,3,76,76,2.342,0,2,409,298,0,
8,4,1,1,8,8,8,4,76,76,2.342,0,2,410,298,0,
8,5,1,1,8,8,8,5,76,76,2.342,0,2,411,298,0,
8,6,1,1,8,8,8,6,76,76,2.342,0,2,412,298,0,
8,7,1,1,8,8,8,7,76,76,2.342,0,2,413,298,0,
8,8,1,1,8,8,8,8,76,76,2.342,0,2,414,298,0,
1,1,1,2,8,8,1,1,73,73,2.607,0,4,334,507,0,
1,2,1,2,8,8,1,2,73,73,2.607,0,4,336,507,0,
1,3,1,2,8,8,1,3,73,73,2.607,0,4,338,507,0,
1,4,1,2,8,8,1,4,73,73,2.607,0,4,340,507,0,
1,5,1,2,8,8,1,5,73,73,2.607,0,4,342,507,0,
1,6,1,2,8,8,1,6,73,73,2.607,0,4,344,507,0,
1,7,1,2,8,8,1,7,73,73,2.607,0,4,346,507,0,
1,8,1,2,8,8,1,8,73,73,2.607,0,4,348,507,0,
