x_exp_width,x_man_width,x_row,x_col,x_row_depth,x_col_depth,w_exp_width,w_man_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,2,1,1,8,8,2,2,67,67,2.179,0,0,19,111,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,4,1,1,8,8,2,4,67,67,2.511,0,0,23,119,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,6,1,1,8,8,2,6,67,67,2.658,0,0,38,141,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
2,8,1,1,8,8,2,8,68,68,1.793,0,0,43,162,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,2,1,1,8,8,4,2,67,67,2.179,0,0,21,111,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,4,1,1,8,8,4,4,67,67,2.511,0,0,25,119,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,6,1,1,8,8,4,6,67,67,2.658,0,0,40,145,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
4,8,1,1,8,8,4,8,68,68,1.793,0,0,47,166,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,2,1,1,8,8,6,2,67,67,2.179,0,0,23,111,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,4,1,1,8,8,6,4,67,67,2.511,0,0,27,119,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,6,1,1,8,8,6,6,67,67,2.658,0,0,42,149,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
6,8,1,1,8,8,6,8,68,68,1.793,0,0,51,170,0,
8,2,1,1,8,8,8,2,67,67,2.179,0,0,25,111,0,
8,2,1,1,8,8,8,2,67,67,2.179,0,0,25,111,0,
8,2,1,1,8,8,8,2,67,67,2.179,0,0,25,111,0,
8,2,1,1,8,8,8,2,67,67,2.179,0,0,25,111,0,
