x_exp_width,x_man_width,x_row,x_col,x_row_depth,x_col_depth,w_exp_width,w_man_width,loc,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,2,1,1,8,8,2,2,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,4,1,1,8,8,2,4,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,6,1,1,8,8,2,6,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
2,8,1,1,8,8,2,8,87,
