x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,loc,
1,1,1,1,8,8,38,
2,1,1,1,8,8,38,
3,1,1,1,8,8,38,
4,1,1,1,8,8,38,
5,1,1,1,8,8,38,
6,1,1,1,8,8,38,
7,1,1,1,8,8,38,
8,1,1,1,8,8,38,
1,1,1,2,8,8,39,
2,1,1,2,8,8,39,
3,1,1,2,8,8,39,
4,1,1,2,8,8,39,
5,1,1,2,8,8,39,
6,1,1,2,8,8,39,
7,1,1,2,8,8,39,
8,1,1,2,8,8,39,
1,1,1,3,8,8,40,
2,1,1,3,8,8,40,
3,1,1,3,8,8,40,
4,1,1,3,8,8,40,
5,1,1,3,8,8,40,
6,1,1,3,8,8,40,
7,1,1,3,8,8,40,
8,1,1,3,8,8,40,
1,1,1,4,8,8,41,
2,1,1,4,8,8,41,
3,1,1,4,8,8,41,
4,1,1,4,8,8,41,
5,1,1,4,8,8,41,
6,1,1,4,8,8,41,
7,1,1,4,8,8,41,
8,1,1,4,8,8,41,
1,1,1,5,8,8,42,
2,1,1,5,8,8,42,
3,1,1,5,8,8,42,
4,1,1,5,8,8,42,
5,1,1,5,8,8,42,
6,1,1,5,8,8,42,
7,1,1,5,8,8,42,
8,1,1,5,8,8,42,
1,1,1,6,8,8,43,
2,1,1,6,8,8,43,
3,1,1,6,8,8,43,
4,1,1,6,8,8,43,
5,1,1,6,8,8,43,
6,1,1,6,8,8,43,
7,1,1,6,8,8,43,
8,1,1,6,8,8,43,
1,1,1,7,8,8,44,
2,1,1,7,8,8,44,
3,1,1,7,8,8,44,
4,1,1,7,8,8,44,
5,1,1,7,8,8,44,
6,1,1,7,8,8,44,
7,1,1,7,8,8,44,
8,1,1,7,8,8,44,
1,1,1,8,8,8,45,
2,1,1,8,8,8,45,
3,1,1,8,8,8,45,
4,1,1,8,8,8,45,
5,1,1,8,8,8,45,
6,1,1,8,8,8,45,
7,1,1,8,8,8,45,
8,1,1,8,8,8,45,
1,1,2,1,8,8,39,
2,1,2,1,8,8,39,
3,1,2,1,8,8,39,
4,1,2,1,8,8,39,
5,1,2,1,8,8,39,
6,1,2,1,8,8,39,
7,1,2,1,8,8,39,
8,1,2,1,8,8,39,
1,1,2,2,8,8,41,
2,1,2,2,8,8,41,
3,1,2,2,8,8,41,
4,1,2,2,8,8,41,
5,1,2,2,8,8,41,
6,1,2,2,8,8,41,
7,1,2,2,8,8,41,
8,1,2,2,8,8,41,
1,1,2,3,8,8,43,
2,1,2,3,8,8,43,
3,1,2,3,8,8,43,
4,1,2,3,8,8,43,
5,1,2,3,8,8,43,
6,1,2,3,8,8,43,
7,1,2,3,8,8,43,
8,1,2,3,8,8,43,
1,1,2,4,8,8,45,
2,1,2,4,8,8,45,
3,1,2,4,8,8,45,
4,1,2,4,8,8,45,
5,1,2,4,8,8,45,
6,1,2,4,8,8,45,
7,1,2,4,8,8,45,
8,1,2,4,8,8,45,
1,1,2,5,8,8,47,
2,1,2,5,8,8,47,
3,1,2,5,8,8,47,
4,1,2,5,8,8,47,
5,1,2,5,8,8,47,
6,1,2,5,8,8,47,
7,1,2,5,8,8,47,
8,1,2,5,8,8,47,
1,1,2,6,8,8,49,
2,1,2,6,8,8,49,
3,1,2,6,8,8,49,
4,1,2,6,8,8,49,
5,1,2,6,8,8,49,
6,1,2,6,8,8,49,
7,1,2,6,8,8,49,
8,1,2,6,8,8,49,
1,1,2,7,8,8,51,
2,1,2,7,8,8,51,
3,1,2,7,8,8,51,
4,1,2,7,8,8,51,
5,1,2,7,8,8,51,
6,1,2,7,8,8,51,
7,1,2,7,8,8,51,
8,1,2,7,8,8,51,
1,1,2,8,8,8,53,
2,1,2,8,8,8,53,
3,1,2,8,8,8,53,
4,1,2,8,8,8,53,
5,1,2,8,8,8,53,
6,1,2,8,8,8,53,
7,1,2,8,8,8,53,
8,1,2,8,8,8,53,
1,1,3,1,8,8,40,
2,1,3,1,8,8,40,
3,1,3,1,8,8,40,
4,1,3,1,8,8,40,
5,1,3,1,8,8,40,
6,1,3,1,8,8,40,
7,1,3,1,8,8,40,
8,1,3,1,8,8,40,
1,1,3,2,8,8,43,
2,1,3,2,8,8,43,
3,1,3,2,8,8,43,
4,1,3,2,8,8,43,
5,1,3,2,8,8,43,
6,1,3,2,8,8,43,
7,1,3,2,8,8,43,
8,1,3,2,8,8,43,
1,1,3,3,8,8,46,
2,1,3,3,8,8,46,
3,1,3,3,8,8,46,
4,1,3,3,8,8,46,
5,1,3,3,8,8,46,
6,1,3,3,8,8,46,
7,1,3,3,8,8,46,
8,1,3,3,8,8,46,
1,1,3,4,8,8,49,
2,1,3,4,8,8,49,
3,1,3,4,8,8,49,
4,1,3,4,8,8,49,
5,1,3,4,8,8,49,
6,1,3,4,8,8,49,
7,1,3,4,8,8,49,
8,1,3,4,8,8,49,
1,1,3,5,8,8,52,
2,1,3,5,8,8,52,
3,1,3,5,8,8,52,
4,1,3,5,8,8,52,
5,1,3,5,8,8,52,
6,1,3,5,8,8,52,
7,1,3,5,8,8,52,
8,1,3,5,8,8,52,
1,1,3,6,8,8,55,
2,1,3,6,8,8,55,
3,1,3,6,8,8,55,
4,1,3,6,8,8,55,
5,1,3,6,8,8,55,
6,1,3,6,8,8,55,
7,1,3,6,8,8,55,
8,1,3,6,8,8,55,
1,1,3,7,8,8,58,
2,1,3,7,8,8,58,
3,1,3,7,8,8,58,
4,1,3,7,8,8,58,
5,1,3,7,8,8,58,
6,1,3,7,8,8,58,
7,1,3,7,8,8,58,
8,1,3,7,8,8,58,
1,1,3,8,8,8,61,
2,1,3,8,8,8,61,
3,1,3,8,8,8,61,
4,1,3,8,8,8,61,
5,1,3,8,8,8,61,
6,1,3,8,8,8,61,
7,1,3,8,8,8,61,
8,1,3,8,8,8,61,
1,1,4,1,8,8,41,
2,1,4,1,8,8,41,
3,1,4,1,8,8,41,
4,1,4,1,8,8,41,
5,1,4,1,8,8,41,
