x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,67,67,1.864,0,0,14,113,0,
1,1,1,1,8,8,2,1,67,67,2.0,0,0,15,112,0,
1,1,1,1,8,8,3,1,67,67,2.136,0,0,16,114,0,
1,1,1,1,8,8,4,1,67,67,2.135,0,0,17,114,0,
1,1,1,1,8,8,5,1,67,67,2.135,0,0,18,115,0,
1,1,1,1,8,8,6,1,67,67,2.134,0,0,19,116,0,
1,1,1,1,8,8,7,1,67,67,2.133,0,0,20,117,0,
1,1,1,1,8,8,8,1,67,67,2.143,0,0,21,118,0,
2,1,1,1,8,8,1,1,67,67,2.0,0,0,15,112,0,
2,1,1,1,8,8,2,1,67,67,1.864,0,0,15,110,0,
2,1,1,1,8,8,3,1,67,67,2.0,0,0,16,112,0,
2,1,1,1,8,8,4,1,67,67,2.136,0,0,17,112,0,
2,1,1,1,8,8,5,1,67,67,2.135,0,0,18,113,0,
2,1,1,1,8,8,6,1,67,67,2.135,0,0,19,114,0,
2,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
2,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
3,1,1,1,8,8,1,1,67,67,2.136,0,0,16,114,0,
3,1,1,1,8,8,2,1,67,67,2.0,0,0,16,112,0,
3,1,1,1,8,8,3,1,67,67,2.0,0,0,16,112,0,
3,1,1,1,8,8,4,1,67,67,2.136,0,0,17,112,0,
3,1,1,1,8,8,5,1,67,67,2.135,0,0,18,113,0,
3,1,1,1,8,8,6,1,67,67,2.135,0,0,19,114,0,
3,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
3,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
4,1,1,1,8,8,1,1,67,67,2.135,0,0,17,114,0,
4,1,1,1,8,8,2,1,67,67,2.136,0,0,17,112,0,
4,1,1,1,8,8,3,1,67,67,2.136,0,0,17,112,0,
4,1,1,1,8,8,4,1,67,67,2.136,0,0,17,112,0,
4,1,1,1,8,8,5,1,67,67,2.135,0,0,18,113,0,
4,1,1,1,8,8,6,1,67,67,2.135,0,0,19,114,0,
4,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
4,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
5,1,1,1,8,8,1,1,67,67,2.135,0,0,18,115,0,
5,1,1,1,8,8,2,1,67,67,2.135,0,0,18,113,0,
5,1,1,1,8,8,3,1,67,67,2.135,0,0,18,113,0,
5,1,1,1,8,8,4,1,67,67,2.135,0,0,18,113,0,
5,1,1,1,8,8,5,1,67,67,2.135,0,0,18,113,0,
5,1,1,1,8,8,6,1,67,67,2.135,0,0,19,114,0,
5,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
5,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
6,1,1,1,8,8,1,1,67,67,2.134,0,0,19,116,0,
6,1,1,1,8,8,2,1,67,67,2.135,0,0,19,114,0,
6,1,1,1,8,8,3,1,67,67,2.135,0,0,19,114,0,
6,1,1,1,8,8,4,1,67,67,2.135,0,0,19,114,0,
6,1,1,1,8,8,5,1,67,67,2.135,0,0,19,114,0,
6,1,1,1,8,8,6,1,67,67,2.135,0,0,19,114,0,
6,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
6,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
7,1,1,1,8,8,1,1,67,67,2.133,0,0,20,117,0,
7,1,1,1,8,8,2,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,3,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,4,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,5,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,6,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,7,1,67,67,2.134,0,0,20,115,0,
7,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,1,1,67,67,2.143,0,0,21,118,0,
8,1,1,1,8,8,2,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,3,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,4,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,5,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,6,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,7,1,67,67,2.133,0,0,21,116,0,
8,1,1,1,8,8,8,1,67,67,2.133,0,0,21,116,0,
1,1,1,2,8,8,1,1,67,67,1.864,0,0,16,126,0,
1,1,1,2,8,8,2,1,67,67,2.0,0,0,18,124,0,
1,1,1,2,8,8,3,1,67,67,2.136,0,0,20,128,0,
1,1,1,2,8,8,4,1,67,67,2.135,0,0,22,128,0,
1,1,1,2,8,8,5,1,67,67,2.135,0,0,24,130,0,
1,1,1,2,8,8,6,1,67,67,2.134,0,0,26,132,0,
1,1,1,2,8,8,7,1,67,67,2.133,0,0,28,134,0,
1,1,1,2,8,8,8,1,67,67,2.143,0,0,30,136,0,
2,1,1,2,8,8,1,1,67,67,2.0,0,0,18,124,0,
2,1,1,2,8,8,2,1,67,67,1.864,0,0,18,120,0,
2,1,1,2,8,8,3,1,67,67,2.0,0,0,20,124,0,
2,1,1,2,8,8,4,1,67,67,2.136,0,0,22,124,0,
2,1,1,2,8,8,5,1,67,67,2.135,0,0,24,126,0,
2,1,1,2,8,8,6,1,67,67,2.135,0,0,26,128,0,
2,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
2,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
3,1,1,2,8,8,1,1,67,67,2.136,0,0,20,128,0,
3,1,1,2,8,8,2,1,67,67,2.0,0,0,20,124,0,
3,1,1,2,8,8,3,1,67,67,2.0,0,0,20,124,0,
3,1,1,2,8,8,4,1,67,67,2.136,0,0,22,124,0,
3,1,1,2,8,8,5,1,67,67,2.135,0,0,24,126,0,
3,1,1,2,8,8,6,1,67,67,2.135,0,0,26,128,0,
3,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
3,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
4,1,1,2,8,8,1,1,67,67,2.135,0,0,22,128,0,
4,1,1,2,8,8,2,1,67,67,2.136,0,0,22,124,0,
4,1,1,2,8,8,3,1,67,67,2.136,0,0,22,124,0,
4,1,1,2,8,8,4,1,67,67,2.136,0,0,22,124,0,
4,1,1,2,8,8,5,1,67,67,2.135,0,0,24,126,0,
4,1,1,2,8,8,6,1,67,67,2.135,0,0,26,128,0,
4,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
4,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
5,1,1,2,8,8,1,1,67,67,2.135,0,0,24,130,0,
5,1,1,2,8,8,2,1,67,67,2.135,0,0,24,126,0,
5,1,1,2,8,8,3,1,67,67,2.135,0,0,24,126,0,
5,1,1,2,8,8,4,1,67,67,2.135,0,0,24,126,0,
5,1,1,2,8,8,5,1,67,67,2.135,0,0,24,126,0,
5,1,1,2,8,8,6,1,67,67,2.135,0,0,26,128,0,
5,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
5,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
6,1,1,2,8,8,1,1,67,67,2.134,0,0,26,132,0,
6,1,1,2,8,8,2,1,67,67,2.135,0,0,26,128,0,
6,1,1,2,8,8,3,1,67,67,2.135,0,0,26,128,0,
6,1,1,2,8,8,4,1,67,67,2.135,0,0,26,128,0,
6,1,1,2,8,8,5,1,67,67,2.135,0,0,26,128,0,
6,1,1,2,8,8,6,1,67,67,2.135,0,0,26,128,0,
6,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
6,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
7,1,1,2,8,8,1,1,67,67,2.133,0,0,28,134,0,
7,1,1,2,8,8,2,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,3,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,4,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,5,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,6,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,7,1,67,67,2.134,0,0,28,130,0,
7,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,1,1,67,67,2.143,0,0,30,136,0,
8,1,1,2,8,8,2,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,3,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,4,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,5,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,6,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,7,1,67,67,2.133,0,0,30,132,0,
8,1,1,2,8,8,8,1,67,67,2.133,0,0,30,132,0,
1,1,1,3,8,8,1,1,67,67,1.864,0,0,18,139,0,
1,1,1,3,8,8,2,1,67,67,2.0,0,0,21,136,0,
1,1,1,3,8,8,3,1,67,67,2.136,0,0,24,142,0,
1,1,1,3,8,8,4,1,67,67,2.135,0,0,27,142,0,
1,1,1,3,8,8,5,1,67,67,2.135,0,0,30,145,0,
1,1,1,3,8,8,6,1,67,67,2.134,0,0,33,148,0,
1,1,1,3,8,8,7,1,67,67,2.133,0,0,36,151,0,
1,1,1,3,8,8,8,1,67,67,2.143,0,0,39,154,0,
2,1,1,3,8,8,1,1,67,67,2.0,0,0,21,136,0,
2,1,1,3,8,8,2,1,67,67,1.864,0,0,21,130,0,
2,1,1,3,8,8,3,1,67,67,2.0,0,0,24,136,0,
2,1,1,3,8,8,4,1,67,67,2.136,0,0,27,136,0,
2,1,1,3,8,8,5,1,67,67,2.135,0,0,30,139,0,
2,1,1,3,8,8,6,1,67,67,2.135,0,0,33,142,0,
2,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
2,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
3,1,1,3,8,8,1,1,67,67,2.136,0,0,24,142,0,
3,1,1,3,8,8,2,1,67,67,2.0,0,0,24,136,0,
3,1,1,3,8,8,3,1,67,67,2.0,0,0,24,136,0,
3,1,1,3,8,8,4,1,67,67,2.136,0,0,27,136,0,
3,1,1,3,8,8,5,1,67,67,2.135,0,0,30,139,0,
3,1,1,3,8,8,6,1,67,67,2.135,0,0,33,142,0,
3,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
3,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
4,1,1,3,8,8,1,1,67,67,2.135,0,0,27,142,0,
4,1,1,3,8,8,2,1,67,67,2.136,0,0,27,136,0,
4,1,1,3,8,8,3,1,67,67,2.136,0,0,27,136,0,
4,1,1,3,8,8,4,1,67,67,2.136,0,0,27,136,0,
4,1,1,3,8,8,5,1,67,67,2.135,0,0,30,139,0,
4,1,1,3,8,8,6,1,67,67,2.135,0,0,33,142,0,
4,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
4,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
5,1,1,3,8,8,1,1,67,67,2.135,0,0,30,145,0,
5,1,1,3,8,8,2,1,67,67,2.135,0,0,30,139,0,
5,1,1,3,8,8,3,1,67,67,2.135,0,0,30,139,0,
5,1,1,3,8,8,4,1,67,67,2.135,0,0,30,139,0,
5,1,1,3,8,8,5,1,67,67,2.135,0,0,30,139,0,
5,1,1,3,8,8,6,1,67,67,2.135,0,0,33,142,0,
5,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
5,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
6,1,1,3,8,8,1,1,67,67,2.134,0,0,33,148,0,
6,1,1,3,8,8,2,1,67,67,2.135,0,0,33,142,0,
6,1,1,3,8,8,3,1,67,67,2.135,0,0,33,142,0,
6,1,1,3,8,8,4,1,67,67,2.135,0,0,33,142,0,
6,1,1,3,8,8,5,1,67,67,2.135,0,0,33,142,0,
6,1,1,3,8,8,6,1,67,67,2.135,0,0,33,142,0,
6,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
6,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
7,1,1,3,8,8,1,1,67,67,2.133,0,0,36,151,0,
7,1,1,3,8,8,2,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,3,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,4,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,5,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,6,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,7,1,67,67,2.134,0,0,36,145,0,
7,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,1,1,67,67,2.143,0,0,39,154,0,
8,1,1,3,8,8,2,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,3,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,4,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,5,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,6,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,7,1,67,67,2.133,0,0,39,148,0,
8,1,1,3,8,8,8,1,67,67,2.133,0,0,39,148,0,
1,1,1,4,8,8,1,1,67,67,1.864,0,0,20,152,0,
1,1,1,4,8,8,2,1,67,67,2.0,0,0,24,148,0,
1,1,1,4,8,8,3,1,67,67,2.136,0,0,28,156,0,
1,1,1,4,8,8,4,1,67,67,2.135,0,0,32,156,0,
1,1,1,4,8,8,5,1,67,67,2.135,0,0,36,160,0,
1,1,1,4,8,8,6,1,67,67,2.134,0,0,40,164,0,
1,1,1,4,8,8,7,1,67,67,2.133,0,0,44,168,0,
