x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,loc,
1,1,1,1,8,8,1,1,37,
1,1,1,1,8,8,2,1,40,
1,1,1,1,8,8,3,1,40,
1,1,1,1,8,8,4,1,40,
1,1,1,1,8,8,5,1,40,
1,1,1,1,8,8,6,1,40,
1,1,1,1,8,8,7,1,40,
1,1,1,1,8,8,8,1,40,
2,1,1,1,8,8,1,1,40,
2,1,1,1,8,8,2,1,37,
2,1,1,1,8,8,3,1,40,
2,1,1,1,8,8,4,1,40,
2,1,1,1,8,8,5,1,40,
2,1,1,1,8,8,6,1,40,
2,1,1,1,8,8,7,1,40,
2,1,1,1,8,8,8,1,40,
3,1,1,1,8,8,1,1,40,
3,1,1,1,8,8,2,1,40,
3,1,1,1,8,8,3,1,37,
3,1,1,1,8,8,4,1,40,
3,1,1,1,8,8,5,1,40,
3,1,1,1,8,8,6,1,40,
3,1,1,1,8,8,7,1,40,
3,1,1,1,8,8,8,1,40,
4,1,1,1,8,8,1,1,40,
4,1,1,1,8,8,2,1,40,
4,1,1,1,8,8,3,1,40,
4,1,1,1,8,8,4,1,37,
4,1,1,1,8,8,5,1,40,
4,1,1,1,8,8,6,1,40,
4,1,1,1,8,8,7,1,40,
4,1,1,1,8,8,8,1,40,
5,1,1,1,8,8,1,1,40,
5,1,1,1,8,8,2,1,40,
5,1,1,1,8,8,3,1,40,
5,1,1,1,8,8,4,1,40,
5,1,1,1,8,8,5,1,37,
5,1,1,1,8,8,6,1,40,
5,1,1,1,8,8,7,1,40,
5,1,1,1,8,8,8,1,40,
6,1,1,1,8,8,1,1,40,
6,1,1,1,8,8,2,1,40,
6,1,1,1,8,8,3,1,40,
6,1,1,1,8,8,4,1,40,
6,1,1,1,8,8,5,1,40,
6,1,1,1,8,8,6,1,37,
6,1,1,1,8,8,7,1,40,
6,1,1,1,8,8,8,1,40,
7,1,1,1,8,8,1,1,40,
7,1,1,1,8,8,2,1,40,
7,1,1,1,8,8,3,1,40,
7,1,1,1,8,8,4,1,40,
7,1,1,1,8,8,5,1,40,
7,1,1,1,8,8,6,1,40,
7,1,1,1,8,8,7,1,37,
7,1,1,1,8,8,8,1,40,
8,1,1,1,8,8,1,1,40,
8,1,1,1,8,8,2,1,40,
8,1,1,1,8,8,3,1,40,
8,1,1,1,8,8,4,1,40,
8,1,1,1,8,8,5,1,40,
8,1,1,1,8,8,6,1,40,
8,1,1,1,8,8,7,1,40,
8,1,1,1,8,8,8,1,37,
1,1,1,2,8,8,1,1,40,
1,1,1,2,8,8,2,1,44,
1,1,1,2,8,8,3,1,44,
1,1,1,2,8,8,4,1,44,
1,1,1,2,8,8,5,1,44,
1,1,1,2,8,8,6,1,44,
1,1,1,2,8,8,7,1,44,
1,1,1,2,8,8,8,1,44,
2,1,1,2,8,8,1,1,44,
2,1,1,2,8,8,2,1,40,
2,1,1,2,8,8,3,1,44,
2,1,1,2,8,8,4,1,44,
2,1,1,2,8,8,5,1,44,
2,1,1,2,8,8,6,1,44,
2,1,1,2,8,8,7,1,44,
2,1,1,2,8,8,8,1,44,
3,1,1,2,8,8,1,1,44,
3,1,1,2,8,8,2,1,44,
3,1,1,2,8,8,3,1,40,
3,1,1,2,8,8,4,1,44,
3,1,1,2,8,8,5,1,44,
3,1,1,2,8,8,6,1,44,
3,1,1,2,8,8,7,1,44,
3,1,1,2,8,8,8,1,44,
4,1,1,2,8,8,1,1,44,
4,1,1,2,8,8,2,1,44,
4,1,1,2,8,8,3,1,44,
4,1,1,2,8,8,4,1,40,
4,1,1,2,8,8,5,1,44,
4,1,1,2,8,8,6,1,44,
4,1,1,2,8,8,7,1,44,
4,1,1,2,8,8,8,1,44,
5,1,1,2,8,8,1,1,44,
5,1,1,2,8,8,2,1,44,
5,1,1,2,8,8,3,1,44,
5,1,1,2,8,8,4,1,44,
5,1,1,2,8,8,5,1,40,
5,1,1,2,8,8,6,1,44,
5,1,1,2,8,8,7,1,44,
5,1,1,2,8,8,8,1,44,
6,1,1,2,8,8,1,1,44,
6,1,1,2,8,8,2,1,44,
6,1,1,2,8,8,3,1,44,
6,1,1,2,8,8,4,1,44,
6,1,1,2,8,8,5,1,44,
6,1,1,2,8,8,6,1,40,
6,1,1,2,8,8,7,1,44,
6,1,1,2,8,8,8,1,44,
7,1,1,2,8,8,1,1,44,
7,1,1,2,8,8,2,1,44,
7,1,1,2,8,8,3,1,44,
7,1,1,2,8,8,4,1,44,
7,1,1,2,8,8,5,1,44,
7,1,1,2,8,8,6,1,44,
7,1,1,2,8,8,7,1,40,
7,1,1,2,8,8,8,1,44,
8,1,1,2,8,8,1,1,44,
8,1,1,2,8,8,2,1,44,
8,1,1,2,8,8,3,1,44,
8,1,1,2,8,8,4,1,44,
8,1,1,2,8,8,5,1,44,
8,1,1,2,8,8,6,1,44,
8,1,1,2,8,8,7,1,44,
8,1,1,2,8,8,8,1,40,
1,1,1,3,8,8,1,1,43,
1,1,1,3,8,8,2,1,48,
1,1,1,3,8,8,3,1,48,
1,1,1,3,8,8,4,1,48,
1,1,1,3,8,8,5,1,48,
1,1,1,3,8,8,6,1,48,
1,1,1,3,8,8,7,1,48,
1,1,1,3,8,8,8,1,48,
2,1,1,3,8,8,1,1,48,
2,1,1,3,8,8,2,1,43,
2,1,1,3,8,8,3,1,48,
2,1,1,3,8,8,4,1,48,
2,1,1,3,8,8,5,1,48,
2,1,1,3,8,8,6,1,48,
2,1,1,3,8,8,7,1,48,
2,1,1,3,8,8,8,1,48,
3,1,1,3,8,8,1,1,48,
3,1,1,3,8,8,2,1,48,
3,1,1,3,8,8,3,1,43,
3,1,1,3,8,8,4,1,48,
3,1,1,3,8,8,5,1,48,
3,1,1,3,8,8,6,1,48,
3,1,1,3,8,8,7,1,48,
3,1,1,3,8,8,8,1,48,
4,1,1,3,8,8,1,1,48,
4,1,1,3,8,8,2,1,48,
4,1,1,3,8,8,3,1,48,
4,1,1,3,8,8,4,1,43,
4,1,1,3,8,8,5,1,48,
4,1,1,3,8,8,6,1,48,
4,1,1,3,8,8,7,1,48,
4,1,1,3,8,8,8,1,48,
5,1,1,3,8,8,1,1,48,
5,1,1,3,8,8,2,1,48,
5,1,1,3,8,8,3,1,48,
5,1,1,3,8,8,4,1,48,
5,1,1,3,8,8,5,1,43,
5,1,1,3,8,8,6,1,48,
5,1,1,3,8,8,7,1,48,
5,1,1,3,8,8,8,1,48,
6,1,1,3,8,8,1,1,48,
6,1,1,3,8,8,2,1,48,
6,1,1,3,8,8,3,1,48,
6,1,1,3,8,8,4,1,48,
6,1,1,3,8,8,5,1,48,
6,1,1,3,8,8,6,1,43,
6,1,1,3,8,8,7,1,48,
6,1,1,3,8,8,8,1,48,
7,1,1,3,8,8,1,1,48,
7,1,1,3,8,8,2,1,48,
7,1,1,3,8,8,3,1,48,
7,1,1,3,8,8,4,1,48,
7,1,1,3,8,8,5,1,48,
7,1,1,3,8,8,6,1,48,
7,1,1,3,8,8,7,1,43,
7,1,1,3,8,8,8,1,48,
8,1,1,3,8,8,1,1,48,
8,1,1,3,8,8,2,1,48,
8,1,1,3,8,8,3,1,48,
8,1,1,3,8,8,4,1,48,
8,1,1,3,8,8,5,1,48,
8,1,1,3,8,8,6,1,48,
8,1,1,3,8,8,7,1,48,
8,1,1,3,8,8,8,1,43,
1,1,1,4,8,8,1,1,46,
1,1,1,4,8,8,2,1,52,
1,1,1,4,8,8,3,1,52,
1,1,1,4,8,8,4,1,52,
1,1,1,4,8,8,5,1,52,
1,1,1,4,8,8,6,1,52,
1,1,1,4,8,8,7,1,52,
1,1,1,4,8,8,8,1,52,
2,1,1,4,8,8,1,1,52,
2,1,1,4,8,8,2,1,46,
2,1,1,4,8,8,3,1,52,
2,1,1,4,8,8,4,1,52,
2,1,1,4,8,8,5,1,52,
2,1,1,4,8,8,6,1,52,
2,1,1,4,8,8,7,1,52,
2,1,1,4,8,8,8,1,52,
3,1,1,4,8,8,1,1,52,
3,1,1,4,8,8,2,1,52,
3,1,1,4,8,8,3,1,46,
3,1,1,4,8,8,4,1,52,
3,1,1,4,8,8,5,1,52,
3,1,1,4,8,8,6,1,52,
3,1,1,4,8,8,7,1,52,
3,1,1,4,8,8,8,1,52,
4,1,1,4,8,8,1,1,52,
4,1,1,4,8,8,2,1,52,
4,1,1,4,8,8,3,1,52,
4,1,1,4,8,8,4,1,46,
4,1,1,4,8,8,5,1,52,
4,1,1,4,8,8,6,1,52,
4,1,1,4,8,8,7,1,52,
4,1,1,4,8,8,8,1,52,
5,1,1,4,8,8,1,1,52,
5,1,1,4,8,8,2,1,52,
5,1,1,4,8,8,3,1,52,
5,1,1,4,8,8,4,1,52,
5,1,1,4,8,8,5,1,46,
5,1,1,4,8,8,6,1,52,
5,1,1,4,8,8,7,1,52,
5,1,1,4,8,8,8,1,52,
6,1,1,4,8,8,1,1,52,
6,1,1,4,8,8,2,1,52,
6,1,1,4,8,8,3,1,52,
6,1,1,4,8,8,4,1,52,
6,1,1,4,8,8,5,1,52,
6,1,1,4,8,8,6,1,46,
6,1,1,4,8,8,7,1,52,
6,1,1,4,8,8,8,1,52,
7,1,1,4,8,8,1,1,52,
7,1,1,4,8,8,2,1,52,
7,1,1,4,8,8,3,1,52,
7,1,1,4,8,8,4,1,52,
7,1,1,4,8,8,5,1,52,
7,1,1,4,8,8,6,1,52,
7,1,1,4,8,8,7,1,46,
7,1,1,4,8,8,8,1,52,
8,1,1,4,8,8,1,1,52,
8,1,1,4,8,8,2,1,52,
8,1,1,4,8,8,3,1,52,
8,1,1,4,8,8,4,1,52,
8,1,1,4,8,8,5,1,52,
8,1,1,4,8,8,6,1,52,
8,1,1,4,8,8,7,1,52,
8,1,1,4,8,8,8,1,46,
1,1,1,4,8,8,1,1,46,
1,1,1,4,8,8,2,1,52,
1,1,1,4,8,8,3,1,52,
1,1,1,4,8,8,4,1,52,
1,1,1,4,8,8,5,1,52,
1,1,1,4,8,8,6,1,52,
1,1,1,4,8,8,7,1,52,
1,1,1,4,8,8,8,1,52,
2,1,1,4,8,8,1,1,52,
2,1,1,4,8,8,2,1,46,
2,1,1,4,8,8,3,1,52,
2,1,1,4,8,8,4,1,52,
2,1,1,4,8,8,5,1,52,
2,1,1,4,8,8,6,1,52,
2,1,1,4,8,8,7,1,52,
2,1,1,4,8,8,8,1,52,
3,1,1,4,8,8,1,1,52,
3,1,1,4,8,8,2,1,52,
3,1,1,4,8,8,3,1,46,
3,1,1,4,8,8,4,1,52,
3,1,1,4,8,8,5,1,52,
3,1,1,4,8,8,6,1,52,
3,1,1,4,8,8,7,1,52,
3,1,1,4,8,8,8,1,52,
4,1,1,4,8,8,1,1,52,
4,1,1,4,8,8,2,1,52,
4,1,1,4,8,8,3,1,52,
4,1,1,4,8,8,4,1,46,
4,1,1,4,8,8,5,1,52,
4,1,1,4,8,8,6,1,52,
4,1,1,4,8,8,7,1,52,
4,1,1,4,8,8,8,1,52,
5,1,1,4,8,8,1,1,52,
5,1,1,4,8,8,2,1,52,
5,1,1,4,8,8,3,1,52,
5,1,1,4,8,8,4,1,52,
5,1,1,4,8,8,5,1,46,
5,1,1,4,8,8,6,1,52,
5,1,1,4,8,8,7,1,52,
5,1,1,4,8,8,8,1,52,
6,1,1,4,8,8,1,1,52,
6,1,1,4,8,8,2,1,52,
6,1,1,4,8,8,3,1,52,
6,1,1,4,8,8,4,1,52,
6,1,1,4,8,8,5,1,52,
6,1,1,4,8,8,6,1,46,
6,1,1,4,8,8,7,1,52,
6,1,1,4,8,8,8,1,52,
7,1,1,4,8,8,1,1,52,
7,1,1,4,8,8,2,1,52,
7,1,1,4,8,8,3,1,52,
7,1,1,4,8,8,4,1,52,
7,1,1,4,8,8,5,1,52,
7,1,1,4,8,8,6,1,52,
7,1,1,4,8,8,7,1,46,
7,1,1,4,8,8,8,1,52,
8,1,1,4,8,8,1,1,52,
8,1,1,4,8,8,2,1,52,
8,1,1,4,8,8,3,1,52,
8,1,1,4,8,8,4,1,52,
8,1,1,4,8,8,5,1,52,
8,1,1,4,8,8,6,1,52,
8,1,1,4,8,8,7,1,52,
8,1,1,4,8,8,8,1,46,
1,1,1,6,8,8,1,1,52,
1,1,1,6,8,8,2,1,60,
1,1,1,6,8,8,3,1,60,
1,1,1,6,8,8,4,1,60,
1,1,1,6,8,8,5,1,60,
1,1,1,6,8,8,6,1,60,
1,1,1,6,8,8,7,1,60,
1,1,1,6,8,8,8,1,60,
2,1,1,6,8,8,1,1,60,
2,1,1,6,8,8,2,1,52,
2,1,1,6,8,8,3,1,60,
2,1,1,6,8,8,4,1,60,
2,1,1,6,8,8,5,1,60,
2,1,1,6,8,8,6,1,60,
2,1,1,6,8,8,7,1,60,
2,1,1,6,8,8,8,1,60,
3,1,1,6,8,8,1,1,60,
3,1,1,6,8,8,2,1,60,
3,1,1,6,8,8,3,1,52,
3,1,1,6,8,8,4,1,60,
3,1,1,6,8,8,5,1,60,
3,1,1,6,8,8,6,1,60,
3,1,1,6,8,8,7,1,60,
3,1,1,6,8,8,8,1,60,
4,1,1,6,8,8,1,1,60,
4,1,1,6,8,8,2,1,60,
4,1,1,6,8,8,3,1,60,
4,1,1,6,8,8,4,1,52,
4,1,1,6,8,8,5,1,60,
4,1,1,6,8,8,6,1,60,
4,1,1,6,8,8,7,1,60,
4,1,1,6,8,8,8,1,60,
5,1,1,6,8,8,1,1,60,
5,1,1,6,8,8,2,1,60,
5,1,1,6,8,8,3,1,60,
5,1,1,6,8,8,4,1,60,
5,1,1,6,8,8,5,1,52,
5,1,1,6,8,8,6,1,60,
5,1,1,6,8,8,7,1,60,
5,1,1,6,8,8,8,1,60,
6,1,1,6,8,8,1,1,60,
6,1,1,6,8,8,2,1,60,
6,1,1,6,8,8,3,1,60,
6,1,1,6,8,8,4,1,60,
6,1,1,6,8,8,5,1,60,
6,1,1,6,8,8,6,1,52,
6,1,1,6,8,8,7,1,60,
6,1,1,6,8,8,8,1,60,
7,1,1,6,8,8,1,1,60,
7,1,1,6,8,8,2,1,60,
7,1,1,6,8,8,3,1,60,
7,1,1,6,8,8,4,1,60,
7,1,1,6,8,8,5,1,60,
7,1,1,6,8,8,6,1,60,
7,1,1,6,8,8,7,1,52,
7,1,1,6,8,8,8,1,60,
8,1,1,6,8,8,1,1,60,
8,1,1,6,8,8,2,1,60,
8,1,1,6,8,8,3,1,60,
8,1,1,6,8,8,4,1,60,
8,1,1,6,8,8,5,1,60,
8,1,1,6,8,8,6,1,60,
8,1,1,6,8,8,7,1,60,
8,1,1,6,8,8,8,1,52,
1,1,1,7,8,8,1,1,55,
1,1,1,7,8,8,2,1,64,
1,1,1,7,8,8,3,1,64,
1,1,1,7,8,8,4,1,64,
1,1,1,7,8,8,5,1,64,
1,1,1,7,8,8,6,1,64,
1,1,1,7,8,8,7,1,64,
1,1,1,7,8,8,8,1,64,
2,1,1,7,8,8,1,1,64,
2,1,1,7,8,8,2,1,55,
2,1,1,7,8,8,3,1,64,
2,1,1,7,8,8,4,1,64,
2,1,1,7,8,8,5,1,64,
2,1,1,7,8,8,6,1,64,
2,1,1,7,8,8,7,1,64,
2,1,1,7,8,8,8,1,64,
3,1,1,7,8,8,1,1,64,
3,1,1,7,8,8,2,1,64,
3,1,1,7,8,8,3,1,55,
3,1,1,7,8,8,4,1,64,
3,1,1,7,8,8,5,1,64,
3,1,1,7,8,8,6,1,64,
3,1,1,7,8,8,7,1,64,
3,1,1,7,8,8,8,1,64,
4,1,1,7,8,8,1,1,64,
4,1,1,7,8,8,2,1,64,
4,1,1,7,8,8,3,1,64,
4,1,1,7,8,8,4,1,55,
4,1,1,7,8,8,5,1,64,
4,1,1,7,8,8,6,1,64,
4,1,1,7,8,8,7,1,64,
4,1,1,7,8,8,8,1,64,
5,1,1,7,8,8,1,1,64,
5,1,1,7,8,8,2,1,64,
5,1,1,7,8,8,3,1,64,
5,1,1,7,8,8,4,1,64,
5,1,1,7,8,8,5,1,55,
5,1,1,7,8,8,6,1,64,
5,1,1,7,8,8,7,1,64,
5,1,1,7,8,8,8,1,64,
6,1,1,7,8,8,1,1,64,
6,1,1,7,8,8,2,1,64,
6,1,1,7,8,8,3,1,64,
6,1,1,7,8,8,4,1,64,
6,1,1,7,8,8,5,1,64,
6,1,1,7,8,8,6,1,55,
6,1,1,7,8,8,7,1,64,
6,1,1,7,8,8,8,1,64,
7,1,1,7,8,8,1,1,64,
7,1,1,7,8,8,2,1,64,
7,1,1,7,8,8,3,1,64,
7,1,1,7,8,8,4,1,64,
7,1,1,7,8,8,5,1,64,
7,1,1,7,8,8,6,1,64,
7,1,1,7,8,8,7,1,55,
7,1,1,7,8,8,8,1,64,
8,1,1,7,8,8,1,1,64,
8,1,1,7,8,8,2,1,64,
8,1,1,7,8,8,3,1,64,
8,1,1,7,8,8,4,1,64,
8,1,1,7,8,8,5,1,64,
8,1,1,7,8,8,6,1,64,
8,1,1,7,8,8,7,1,64,
8,1,1,7,8,8,8,1,55,
1,1,1,8,8,8,1,1,58,
1,1,1,8,8,8,2,1,68,
1,1,1,8,8,8,3,1,68,
1,1,1,8,8,8,4,1,68,
1,1,1,8,8,8,5,1,68,
1,1,1,8,8,8,6,1,68,
1,1,1,8,8,8,7,1,68,
1,1,1,8,8,8,8,1,68,
2,1,1,8,8,8,1,1,68,
2,1,1,8,8,8,2,1,58,
2,1,1,8,8,8,3,1,68,
2,1,1,8,8,8,4,1,68,
2,1,1,8,8,8,5,1,68,
2,1,1,8,8,8,6,1,68,
2,1,1,8,8,8,7,1,68,
2,1,1,8,8,8,8,1,68,
3,1,1,8,8,8,1,1,68,
3,1,1,8,8,8,2,1,68,
3,1,1,8,8,8,3,1,58,
3,1,1,8,8,8,4,1,68,
3,1,1,8,8,8,5,1,68,
3,1,1,8,8,8,6,1,68,
3,1,1,8,8,8,7,1,68,
3,1,1,8,8,8,8,1,68,
4,1,1,8,8,8,1,1,68,
4,1,1,8,8,8,2,1,68,
4,1,1,8,8,8,3,1,68,
4,1,1,8,8,8,4,1,58,
4,1,1,8,8,8,5,1,68,
4,1,1,8,8,8,6,1,68,
4,1,1,8,8,8,7,1,68,
4,1,1,8,8,8,8,1,68,
5,1,1,8,8,8,1,1,68,
5,1,1,8,8,8,2,1,68,
5,1,1,8,8,8,3,1,68,
5,1,1,8,8,8,4,1,68,
5,1,1,8,8,8,5,1,58,
5,1,1,8,8,8,6,1,68,
5,1,1,8,8,8,7,1,68,
5,1,1,8,8,8,8,1,68,
6,1,1,8,8,8,1,1,68,
6,1,1,8,8,8,2,1,68,
6,1,1,8,8,8,3,1,68,
6,1,1,8,8,8,4,1,68,
6,1,1,8,8,8,5,1,68,
6,1,1,8,8,8,6,1,58,
6,1,1,8,8,8,7,1,68,
6,1,1,8,8,8,8,1,68,
7,1,1,8,8,8,1,1,68,
7,1,1,8,8,8,2,1,68,
7,1,1,8,8,8,3,1,68,
7,1,1,8,8,8,4,1,68,
7,1,1,8,8,8,5,1,68,
7,1,1,8,8,8,6,1,68,
7,1,1,8,8,8,7,1,58,
7,1,1,8,8,8,8,1,68,
8,1,1,8,8,8,1,1,68,
8,1,1,8,8,8,2,1,68,
8,1,1,8,8,8,3,1,68,
8,1,1,8,8,8,4,1,68,
8,1,1,8,8,8,5,1,68,
8,1,1,8,8,8,6,1,68,
8,1,1,8,8,8,7,1,68,
8,1,1,8,8,8,8,1,58,
1,1,2,1,8,8,1,1,40,
1,1,2,1,8,8,2,1,44,
1,1,2,1,8,8,3,1,44,
1,1,2,1,8,8,4,1,44,
1,1,2,1,8,8,5,1,44,
1,1,2,1,8,8,6,1,44,
1,1,2,1,8,8,7,1,44,
1,1,2,1,8,8,8,1,44,
2,1,2,1,8,8,1,1,44,
2,1,2,1,8,8,2,1,40,
2,1,2,1,8,8,3,1,44,
2,1,2,1,8,8,4,1,44,
2,1,2,1,8,8,5,1,44,
2,1,2,1,8,8,6,1,44,
2,1,2,1,8,8,7,1,44,
2,1,2,1,8,8,8,1,44,
3,1,2,1,8,8,1,1,44,
3,1,2,1,8,8,2,1,44,
3,1,2,1,8,8,3,1,40,
3,1,2,1,8,8,4,1,44,
3,1,2,1,8,8,5,1,44,
3,1,2,1,8,8,6,1,44,
3,1,2,1,8,8,7,1,44,
3,1,2,1,8,8,8,1,44,
4,1,2,1,8,8,1,1,44,
4,1,2,1,8,8,2,1,44,
4,1,2,1,8,8,3,1,44,
4,1,2,1,8,8,4,1,40,
4,1,2,1,8,8,5,1,44,
4,1,2,1,8,8,6,1,44,
4,1,2,1,8,8,7,1,44,
4,1,2,1,8,8,8,1,44,
5,1,2,1,8,8,1,1,44,
5,1,2,1,8,8,2,1,44,
5,1,2,1,8,8,3,1,44,
5,1,2,1,8,8,4,1,44,
5,1,2,1,8,8,5,1,40,
5,1,2,1,8,8,6,1,44,
5,1,2,1,8,8,7,1,44,
5,1,2,1,8,8,8,1,44,
6,1,2,1,8,8,1,1,44,
6,1,2,1,8,8,2,1,44,
6,1,2,1,8,8,3,1,44,
6,1,2,1,8,8,4,1,44,
6,1,2,1,8,8,5,1,44,
6,1,2,1,8,8,6,1,40,
6,1,2,1,8,8,7,1,44,
6,1,2,1,8,8,8,1,44,
7,1,2,1,8,8,1,1,44,
7,1,2,1,8,8,2,1,44,
7,1,2,1,8,8,3,1,44,
7,1,2,1,8,8,4,1,44,
7,1,2,1,8,8,5,1,44,
7,1,2,1,8,8,6,1,44,
7,1,2,1,8,8,7,1,40,
7,1,2,1,8,8,8,1,44,
8,1,2,1,8,8,1,1,44,
8,1,2,1,8,8,2,1,44,
8,1,2,1,8,8,3,1,44,
8,1,2,1,8,8,4,1,44,
8,1,2,1,8,8,5,1,44,
8,1,2,1,8,8,6,1,44,
8,1,2,1,8,8,7,1,44,
8,1,2,1,8,8,8,1,40,
1,1,2,2,8,8,1,1,46,
1,1,2,2,8,8,2,1,52,
1,1,2,2,8,8,3,1,52,
1,1,2,2,8,8,4,1,52,
1,1,2,2,8,8,5,1,52,
1,1,2,2,8,8,6,1,52,
1,1,2,2,8,8,7,1,52,
1,1,2,2,8,8,8,1,52,
2,1,2,2,8,8,1,1,52,
2,1,2,2,8,8,2,1,46,
2,1,2,2,8,8,3,1,52,
2,1,2,2,8,8,4,1,52,
2,1,2,2,8,8,5,1,52,
2,1,2,2,8,8,6,1,52,
2,1,2,2,8,8,7,1,52,
2,1,2,2,8,8,8,1,52,
3,1,2,2,8,8,1,1,52,
3,1,2,2,8,8,2,1,52,
3,1,2,2,8,8,3,1,46,
3,1,2,2,8,8,4,1,52,
3,1,2,2,8,8,5,1,52,
3,1,2,2,8,8,6,1,52,
3,1,2,2,8,8,7,1,52,
3,1,2,2,8,8,8,1,52,
4,1,2,2,8,8,1,1,52,
4,1,2,2,8,8,2,1,52,
4,1,2,2,8,8,3,1,52,
4,1,2,2,8,8,4,1,46,
4,1,2,2,8,8,5,1,52,
4,1,2,2,8,8,6,1,52,
4,1,2,2,8,8,7,1,52,
4,1,2,2,8,8,8,1,52,
5,1,2,2,8,8,1,1,52,
5,1,2,2,8,8,2,1,52,
5,1,2,2,8,8,3,1,52,
5,1,2,2,8,8,4,1,52,
5,1,2,2,8,8,5,1,46,
5,1,2,2,8,8,6,1,52,
5,1,2,2,8,8,7,1,52,
5,1,2,2,8,8,8,1,52,
6,1,2,2,8,8,1,1,52,
6,1,2,2,8,8,2,1,52,
6,1,2,2,8,8,3,1,52,
6,1,2,2,8,8,4,1,52,
6,1,2,2,8,8,5,1,52,
6,1,2,2,8,8,6,1,46,
6,1,2,2,8,8,7,1,52,
6,1,2,2,8,8,8,1,52,
7,1,2,2,8,8,1,1,52,
7,1,2,2,8,8,2,1,52,
7,1,2,2,8,8,3,1,52,
7,1,2,2,8,8,4,1,52,
7,1,2,2,8,8,5,1,52,
7,1,2,2,8,8,6,1,52,
7,1,2,2,8,8,7,1,46,
7,1,2,2,8,8,8,1,52,
8,1,2,2,8,8,1,1,52,
8,1,2,2,8,8,2,1,52,
8,1,2,2,8,8,3,1,52,
8,1,2,2,8,8,4,1,52,
8,1,2,2,8,8,5,1,52,
8,1,2,2,8,8,6,1,52,
8,1,2,2,8,8,7,1,52,
8,1,2,2,8,8,8,1,46,
1,1,2,3,8,8,1,1,52,
1,1,2,3,8,8,2,1,60,
1,1,2,3,8,8,3,1,60,
1,1,2,3,8,8,4,1,60,
1,1,2,3,8,8,5,1,60,
1,1,2,3,8,8,6,1,60,
1,1,2,3,8,8,7,1,60,
1,1,2,3,8,8,8,1,60,
2,1,2,3,8,8,1,1,60,
2,1,2,3,8,8,2,1,52,
2,1,2,3,8,8,3,1,60,
2,1,2,3,8,8,4,1,60,
2,1,2,3,8,8,5,1,60,
2,1,2,3,8,8,6,1,60,
2,1,2,3,8,8,7,1,60,
2,1,2,3,8,8,8,1,60,
3,1,2,3,8,8,1,1,60,
3,1,2,3,8,8,2,1,60,
3,1,2,3,8,8,3,1,52,
3,1,2,3,8,8,4,1,60,
3,1,2,3,8,8,5,1,60,
3,1,2,3,8,8,6,1,60,
3,1,2,3,8,8,7,1,60,
3,1,2,3,8,8,8,1,60,
4,1,2,3,8,8,1,1,60,
4,1,2,3,8,8,2,1,60,
4,1,2,3,8,8,3,1,60,
4,1,2,3,8,8,4,1,52,
4,1,2,3,8,8,5,1,60,
4,1,2,3,8,8,6,1,60,
4,1,2,3,8,8,7,1,60,
4,1,2,3,8,8,8,1,60,
5,1,2,3,8,8,1,1,60,
5,1,2,3,8,8,2,1,60,
5,1,2,3,8,8,3,1,60,
5,1,2,3,8,8,4,1,60,
5,1,2,3,8,8,5,1,52,
5,1,2,3,8,8,6,1,60,
5,1,2,3,8,8,7,1,60,
5,1,2,3,8,8,8,1,60,
6,1,2,3,8,8,1,1,60,
6,1,2,3,8,8,2,1,60,
6,1,2,3,8,8,3,1,60,
6,1,2,3,8,8,4,1,60,
6,1,2,3,8,8,5,1,60,
6,1,2,3,8,8,6,1,52,
6,1,2,3,8,8,7,1,60,
6,1,2,3,8,8,8,1,60,
7,1,2,3,8,8,1,1,60,
7,1,2,3,8,8,2,1,60,
7,1,2,3,8,8,3,1,60,
7,1,2,3,8,8,4,1,60,
7,1,2,3,8,8,5,1,60,
7,1,2,3,8,8,6,1,60,
7,1,2,3,8,8,7,1,52,
7,1,2,3,8,8,8,1,60,
8,1,2,3,8,8,1,1,60,
8,1,2,3,8,8,2,1,60,
8,1,2,3,8,8,3,1,60,
8,1,2,3,8,8,4,1,60,
8,1,2,3,8,8,5,1,60,
8,1,2,3,8,8,6,1,60,
8,1,2,3,8,8,7,1,60,
8,1,2,3,8,8,8,1,52,
1,1,2,4,8,8,1,1,58,
1,1,2,4,8,8,2,1,68,
1,1,2,4,8,8,3,1,68,
1,1,2,4,8,8,4,1,68,
1,1,2,4,8,8,5,1,68,
1,1,2,4,8,8,6,1,68,
1,1,2,4,8,8,7,1,68,
1,1,2,4,8,8,8,1,68,
2,1,2,4,8,8,1,1,68,
2,1,2,4,8,8,2,1,58,
2,1,2,4,8,8,3,1,68,
2,1,2,4,8,8,4,1,68,
2,1,2,4,8,8,5,1,68,
2,1,2,4,8,8,6,1,68,
2,1,2,4,8,8,7,1,68,
2,1,2,4,8,8,8,1,68,
3,1,2,4,8,8,1,1,68,
3,1,2,4,8,8,2,1,68,
3,1,2,4,8,8,3,1,58,
3,1,2,4,8,8,4,1,68,
3,1,2,4,8,8,5,1,68,
3,1,2,4,8,8,6,1,68,
3,1,2,4,8,8,7,1,68,
3,1,2,4,8,8,8,1,68,
