x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,76,76,2.873,0,0,583,2018,0,
2,1,1,1,8,8,77,77,2.858,0,0,741,2236,0,
3,1,1,1,8,8,87,87,2.811,0,0,900,2328,0,
4,1,1,1,8,8,91,91,2.873,0,1,992,2439,0,
5,1,1,1,8,8,93,93,2.909,0,1,1105,2698,0,
6,1,1,1,8,8,94,94,2.911,0,1,1292,2802,0,
7,1,1,1,8,8,96,96,2.911,0,1,1240,2814,0,
8,1,1,1,8,8,97,97,2.911,0,1,1308,2880,0,
1,1,1,2,8,8,76,76,2.873,0,0,859,3345,0,
2,1,1,2,8,8,77,77,2.804,0,0,1197,3793,0,
3,1,1,2,8,8,87,87,2.774,0,0,1495,3972,0,
4,1,1,2,8,8,91,91,2.873,0,2,1665,4182,0,
5,1,1,2,8,8,93,93,2.909,0,2,1887,4710,0,
6,1,1,2,8,8,94,94,2.911,0,2,2259,4918,0,
7,1,1,2,8,8,96,96,2.911,0,2,2151,4942,0,
8,1,1,2,8,8,97,97,2.911,0,2,2285,5074,0,
1,1,1,3,8,8,76,76,2.873,0,0,1155,4682,0,
2,1,1,3,8,8,77,77,2.741,0,0,1673,5355,0,
3,1,1,3,8,8,87,87,2.755,0,0,2130,5641,0,
4,1,1,3,8,8,91,91,2.873,0,3,2378,5950,0,
5,1,1,3,8,8,93,93,2.909,0,3,2589,6682,0,
6,1,1,3,8,8,94,94,2.911,0,3,3306,7079,0,
7,1,1,3,8,8,96,96,2.911,0,3,3142,7115,0,
8,1,1,3,8,8,97,97,2.911,0,3,3342,7313,0,
1,1,1,4,8,8,76,76,2.873,0,0,1431,6009,0,
2,1,1,4,8,8,77,77,2.741,0,0,2109,6902,0,
3,1,1,4,8,8,87,87,2.755,0,0,2685,7270,0,
4,1,1,4,8,8,91,91,2.873,0,4,3011,7678,0,
5,1,1,4,8,8,93,93,2.909,0,4,3451,8739,0,
6,1,1,4,8,8,94,94,2.911,0,4,4193,9155,0,
7,1,1,4,8,8,96,96,2.911,0,4,3973,9203,0,
8,1,1,4,8,8,97,97,2.911,0,4,4239,9467,0,
1,1,1,5,8,8,76,76,2.873,0,0,1747,7351,0,
2,1,1,5,8,8,77,77,2.741,0,0,2625,8489,0,
3,1,1,5,8,8,87,87,2.755,0,0,3240,8899,0,
4,1,1,5,8,8,91,91,2.873,0,5,3804,9491,0,
5,1,1,5,8,8,93,93,2.909,0,5,4153,10711,0,
6,1,1,5,8,8,94,94,2.911,0,5,5080,11231,0,
7,1,1,5,8,8,96,96,2.911,0,5,5129,11456,0,
8,1,1,5,8,8,97,97,2.911,0,5,5461,11786,0,
1,1,1,6,8,8,76,76,2.873,0,0,2023,8678,0,
2,1,1,6,8,8,77,77,2.741,0,0,3061,10036,0,
3,1,1,6,8,8,87,87,2.807,0,0,3955,10613,0,
4,1,1,6,8,8,91,91,2.873,0,6,4437,11219,0,
5,1,1,6,8,8,93,93,2.909,0,6,4855,12683,0,
6,1,1,6,8,8,94,94,2.911,0,6,6292,13472,0,
7,1,1,6,8,8,96,96,2.911,0,6,5960,13544,0,
8,1,1,6,8,8,97,97,2.911,0,6,6358,13940,0,
1,1,1,7,8,8,76,76,2.873,0,0,2299,10005,0,
2,1,1,7,8,8,77,77,2.741,0,0,3497,11583,0,
3,1,1,7,8,8,87,87,2.807,0,0,4510,12242,0,
4,1,1,7,8,8,91,91,2.873,0,7,5070,12947,0,
5,1,1,7,8,8,93,93,2.909,0,7,5882,14820,0,
6,1,1,7,8,8,94,94,2.911,0,7,7179,15548,0,
7,1,1,7,8,8,96,96,2.911,0,7,6791,15632,0,
8,1,1,7,8,8,97,97,2.911,0,7,7255,16094,0,
1,1,1,8,8,8,76,76,2.873,0,0,2575,11332,0,
2,1,1,8,8,8,77,77,2.741,0,0,3933,13130,0,
3,1,1,8,8,8,87,87,2.807,0,0,5065,13871,0,
4,1,1,8,8,8,91,91,2.873,0,8,5703,14675,0,
5,1,1,8,8,8,93,93,2.909,0,8,6584,16792,0,
6,1,1,8,8,8,94,94,2.911,0,8,8066,17624,0,
7,1,1,8,8,8,96,96,2.911,0,8,7622,17720,0,
8,1,1,8,8,8,97,97,2.911,0,8,8152,18248,0,
1,1,2,1,8,8,76,76,2.873,0,0,584,2031,0,
2,1,2,1,8,8,77,77,2.804,0,0,753,2256,0,
3,1,2,1,8,8,87,87,2.774,0,0,1022,2432,0,
4,1,2,1,8,8,156,156,2.873,0,2,1148,2676,0,
5,1,2,1,8,8,158,158,2.909,0,2,1315,2886,0,
6,1,2,1,8,8,159,159,2.911,0,2,1538,3012,0,
7,1,2,1,8,8,161,161,2.911,0,2,1524,3161,0,
8,1,2,1,8,8,162,162,2.911,0,2,1643,3274,0,
1,1,2,2,8,8,76,76,2.873,0,0,869,3375,0,
2,1,2,2,8,8,77,77,2.899,0,0,1217,3833,0,
3,1,2,2,8,8,87,87,2.755,0,0,1739,4184,0,
4,1,2,2,8,8,157,157,2.873,0,4,1615,2956,0,
5,1,2,2,8,8,159,159,2.909,0,4,1907,3418,0,
6,1,2,2,8,8,160,160,2.911,0,4,2219,3600,0,
7,1,2,2,8,8,162,162,2.911,0,4,2334,3658,0,
