x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,loc,
1,1,1,1,8,8,124,
2,1,1,1,8,8,124,
3,1,1,1,8,8,124,
4,1,1,1,8,8,124,
5,1,1,1,8,8,124,
6,1,1,1,8,8,124,
7,1,1,1,8,8,124,
8,1,1,1,8,8,124,
1,1,1,2,8,8,146,
2,1,1,2,8,8,146,
3,1,1,2,8,8,146,
4,1,1,2,8,8,146,
5,1,1,2,8,8,146,
6,1,1,2,8,8,146,
7,1,1,2,8,8,146,
8,1,1,2,8,8,146,
1,1,1,3,8,8,168,
2,1,1,3,8,8,168,
3,1,1,3,8,8,168,
4,1,1,3,8,8,168,
5,1,1,3,8,8,168,
6,1,1,3,8,8,168,
7,1,1,3,8,8,168,
8,1,1,3,8,8,168,
1,1,1,4,8,8,190,
2,1,1,4,8,8,190,
3,1,1,4,8,8,190,
4,1,1,4,8,8,190,
5,1,1,4,8,8,190,
6,1,1,4,8,8,190,
7,1,1,4,8,8,190,
8,1,1,4,8,8,190,
1,1,1,5,8,8,212,
2,1,1,5,8,8,212,
3,1,1,5,8,8,212,
4,1,1,5,8,8,212,
5,1,1,5,8,8,212,
6,1,1,5,8,8,212,
7,1,1,5,8,8,212,
8,1,1,5,8,8,212,
1,1,1,6,8,8,234,
2,1,1,6,8,8,234,
3,1,1,6,8,8,234,
4,1,1,6,8,8,234,
5,1,1,6,8,8,234,
6,1,1,6,8,8,234,
7,1,1,6,8,8,234,
8,1,1,6,8,8,234,
1,1,1,7,8,8,256,
2,1,1,7,8,8,256,
3,1,1,7,8,8,256,
4,1,1,7,8,8,256,
5,1,1,7,8,8,256,
6,1,1,7,8,8,256,
7,1,1,7,8,8,256,
8,1,1,7,8,8,256,
1,1,1,8,8,8,278,
2,1,1,8,8,8,278,
3,1,1,8,8,8,278,
4,1,1,8,8,8,278,
5,1,1,8,8,8,278,
6,1,1,8,8,8,278,
7,1,1,8,8,8,278,
8,1,1,8,8,8,278,
1,1,2,1,8,8,134,
2,1,2,1,8,8,134,
3,1,2,1,8,8,134,
4,1,2,1,8,8,134,
5,1,2,1,8,8,134,
6,1,2,1,8,8,134,
7,1,2,1,8,8,134,
8,1,2,1,8,8,134,
1,1,2,2,8,8,164,
2,1,2,2,8,8,164,
3,1,2,2,8,8,164,
4,1,2,2,8,8,164,
5,1,2,2,8,8,164,
6,1,2,2,8,8,164,
7,1,2,2,8,8,164,
8,1,2,2,8,8,164,
1,1,2,3,8,8,194,
2,1,2,3,8,8,194,
3,1,2,3,8,8,194,
4,1,2,3,8,8,194,
5,1,2,3,8,8,194,
6,1,2,3,8,8,194,
7,1,2,3,8,8,194,
8,1,2,3,8,8,194,
1,1,2,4,8,8,224,
2,1,2,4,8,8,224,
3,1,2,4,8,8,224,
4,1,2,4,8,8,224,
5,1,2,4,8,8,224,
6,1,2,4,8,8,224,
7,1,2,4,8,8,224,
8,1,2,4,8,8,224,
1,1,2,5,8,8,254,
2,1,2,5,8,8,254,
3,1,2,5,8,8,254,
4,1,2,5,8,8,254,
5,1,2,5,8,8,254,
6,1,2,5,8,8,254,
7,1,2,5,8,8,254,
8,1,2,5,8,8,254,
1,1,2,6,8,8,284,
2,1,2,6,8,8,284,
3,1,2,6,8,8,284,
4,1,2,6,8,8,284,
5,1,2,6,8,8,284,
6,1,2,6,8,8,284,
7,1,2,6,8,8,284,
8,1,2,6,8,8,284,
1,1,2,7,8,8,314,
2,1,2,7,8,8,314,
3,1,2,7,8,8,314,
4,1,2,7,8,8,314,
5,1,2,7,8,8,314,
6,1,2,7,8,8,314,
7,1,2,7,8,8,314,
8,1,2,7,8,8,314,
1,1,2,8,8,8,344,
2,1,2,8,8,8,344,
3,1,2,8,8,8,344,
4,1,2,8,8,8,344,
5,1,2,8,8,8,344,
6,1,2,8,8,8,344,
7,1,2,8,8,8,344,
8,1,2,8,8,8,344,
1,1,3,1,8,8,141,
2,1,3,1,8,8,141,
3,1,3,1,8,8,141,
4,1,3,1,8,8,141,
5,1,3,1,8,8,141,
6,1,3,1,8,8,141,
7,1,3,1,8,8,141,
8,1,3,1,8,8,141,
1,1,3,2,8,8,178,
2,1,3,2,8,8,178,
3,1,3,2,8,8,178,
4,1,3,2,8,8,178,
5,1,3,2,8,8,178,
6,1,3,2,8,8,178,
7,1,3,2,8,8,178,
8,1,3,2,8,8,178,
1,1,3,3,8,8,215,
2,1,3,3,8,8,215,
3,1,3,3,8,8,215,
4,1,3,3,8,8,215,
5,1,3,3,8,8,215,
6,1,3,3,8,8,215,
7,1,3,3,8,8,215,
8,1,3,3,8,8,215,
1,1,3,4,8,8,252,
2,1,3,4,8,8,252,
3,1,3,4,8,8,252,
4,1,3,4,8,8,252,
5,1,3,4,8,8,252,
6,1,3,4,8,8,252,
7,1,3,4,8,8,252,
8,1,3,4,8,8,252,
1,1,3,5,8,8,289,
2,1,3,5,8,8,289,
3,1,3,5,8,8,289,
4,1,3,5,8,8,289,
5,1,3,5,8,8,289,
6,1,3,5,8,8,289,
7,1,3,5,8,8,289,
8,1,3,5,8,8,289,
1,1,3,6,8,8,326,
2,1,3,6,8,8,326,
3,1,3,6,8,8,326,
4,1,3,6,8,8,326,
5,1,3,6,8,8,326,
6,1,3,6,8,8,326,
7,1,3,6,8,8,326,
8,1,3,6,8,8,326,
1,1,3,7,8,8,363,
2,1,3,7,8,8,363,
3,1,3,7,8,8,363,
4,1,3,7,8,8,363,
5,1,3,7,8,8,363,
6,1,3,7,8,8,363,
7,1,3,7,8,8,363,
8,1,3,7,8,8,363,
1,1,3,8,8,8,400,
2,1,3,8,8,8,400,
3,1,3,8,8,8,400,
4,1,3,8,8,8,400,
5,1,3,8,8,8,400,
6,1,3,8,8,8,400,
7,1,3,8,8,8,400,
8,1,3,8,8,8,400,
1,1,4,1,8,8,148,
2,1,4,1,8,8,148,
3,1,4,1,8,8,148,
4,1,4,1,8,8,148,
5,1,4,1,8,8,148,
6,1,4,1,8,8,148,
7,1,4,1,8,8,148,
8,1,4,1,8,8,148,
1,1,4,2,8,8,192,
2,1,4,2,8,8,192,
3,1,4,2,8,8,192,
4,1,4,2,8,8,192,
5,1,4,2,8,8,192,
6,1,4,2,8,8,192,
7,1,4,2,8,8,192,
8,1,4,2,8,8,192,
1,1,4,3,8,8,236,
2,1,4,3,8,8,236,
3,1,4,3,8,8,236,
4,1,4,3,8,8,236,
5,1,4,3,8,8,236,
6,1,4,3,8,8,236,
7,1,4,3,8,8,236,
8,1,4,3,8,8,236,
1,1,4,4,8,8,280,
2,1,4,4,8,8,280,
3,1,4,4,8,8,280,
4,1,4,4,8,8,280,
5,1,4,4,8,8,280,
6,1,4,4,8,8,280,
7,1,4,4,8,8,280,
8,1,4,4,8,8,280,
1,1,4,5,8,8,324,
2,1,4,5,8,8,324,
3,1,4,5,8,8,324,
4,1,4,5,8,8,324,
5,1,4,5,8,8,324,
6,1,4,5,8,8,324,
7,1,4,5,8,8,324,
8,1,4,5,8,8,324,
1,1,4,6,8,8,368,
2,1,4,6,8,8,368,
3,1,4,6,8,8,368,
4,1,4,6,8,8,368,
5,1,4,6,8,8,368,
6,1,4,6,8,8,368,
7,1,4,6,8,8,368,
8,1,4,6,8,8,368,
1,1,4,7,8,8,412,
2,1,4,7,8,8,412,
3,1,4,7,8,8,412,
4,1,4,7,8,8,412,
5,1,4,7,8,8,412,
6,1,4,7,8,8,412,
7,1,4,7,8,8,412,
8,1,4,7,8,8,412,
1,1,4,8,8,8,456,
2,1,4,8,8,8,456,
3,1,4,8,8,8,456,
4,1,4,8,8,8,456,
5,1,4,8,8,8,456,
6,1,4,8,8,8,456,
7,1,4,8,8,8,456,
8,1,4,8,8,8,456,
1,1,5,1,8,8,155,
2,1,5,1,8,8,155,
3,1,5,1,8,8,155,
4,1,5,1,8,8,155,
5,1,5,1,8,8,155,
6,1,5,1,8,8,155,
7,1,5,1,8,8,155,
8,1,5,1,8,8,155,
1,1,5,2,8,8,206,
2,1,5,2,8,8,206,
3,1,5,2,8,8,206,
4,1,5,2,8,8,206,
5,1,5,2,8,8,206,
6,1,5,2,8,8,206,
7,1,5,2,8,8,206,
8,1,5,2,8,8,206,
1,1,5,3,8,8,257,
2,1,5,3,8,8,257,
3,1,5,3,8,8,257,
4,1,5,3,8,8,257,
5,1,5,3,8,8,257,
6,1,5,3,8,8,257,
7,1,5,3,8,8,257,
8,1,5,3,8,8,257,
1,1,5,4,8,8,308,
2,1,5,4,8,8,308,
3,1,5,4,8,8,308,
4,1,5,4,8,8,308,
5,1,5,4,8,8,308,
6,1,5,4,8,8,308,
7,1,5,4,8,8,308,
8,1,5,4,8,8,308,
1,1,5,5,8,8,359,
2,1,5,5,8,8,359,
3,1,5,5,8,8,359,
4,1,5,5,8,8,359,
5,1,5,5,8,8,359,
6,1,5,5,8,8,359,
7,1,5,5,8,8,359,
8,1,5,5,8,8,359,
1,1,5,6,8,8,410,
2,1,5,6,8,8,410,
3,1,5,6,8,8,410,
4,1,5,6,8,8,410,
5,1,5,6,8,8,410,
6,1,5,6,8,8,410,
7,1,5,6,8,8,410,
8,1,5,6,8,8,410,
1,1,5,7,8,8,461,
2,1,5,7,8,8,461,
3,1,5,7,8,8,461,
4,1,5,7,8,8,461,
5,1,5,7,8,8,461,
6,1,5,7,8,8,461,
7,1,5,7,8,8,461,
8,1,5,7,8,8,461,
1,1,5,8,8,8,512,
2,1,5,8,8,8,512,
3,1,5,8,8,8,512,
4,1,5,8,8,8,512,
5,1,5,8,8,8,512,
6,1,5,8,8,8,512,
7,1,5,8,8,8,512,
8,1,5,8,8,8,512,
1,1,6,1,8,8,162,
2,1,6,1,8,8,162,
3,1,6,1,8,8,162,
4,1,6,1,8,8,162,
5,1,6,1,8,8,162,
6,1,6,1,8,8,162,
7,1,6,1,8,8,162,
8,1,6,1,8,8,162,
1,1,6,2,8,8,220,
2,1,6,2,8,8,220,
3,1,6,2,8,8,220,
4,1,6,2,8,8,220,
5,1,6,2,8,8,220,
6,1,6,2,8,8,220,
7,1,6,2,8,8,220,
8,1,6,2,8,8,220,
1,1,6,3,8,8,278,
2,1,6,3,8,8,278,
3,1,6,3,8,8,278,
4,1,6,3,8,8,278,
5,1,6,3,8,8,278,
6,1,6,3,8,8,278,
7,1,6,3,8,8,278,
8,1,6,3,8,8,278,
1,1,6,4,8,8,336,
2,1,6,4,8,8,336,
3,1,6,4,8,8,336,
4,1,6,4,8,8,336,
5,1,6,4,8,8,336,
6,1,6,4,8,8,336,
7,1,6,4,8,8,336,
8,1,6,4,8,8,336,
1,1,6,5,8,8,394,
2,1,6,5,8,8,394,
3,1,6,5,8,8,394,
4,1,6,5,8,8,394,
5,1,6,5,8,8,394,
6,1,6,5,8,8,394,
7,1,6,5,8,8,394,
8,1,6,5,8,8,394,
1,1,6,6,8,8,452,
2,1,6,6,8,8,452,
3,1,6,6,8,8,452,
4,1,6,6,8,8,452,
5,1,6,6,8,8,452,
6,1,6,6,8,8,452,
7,1,6,6,8,8,452,
8,1,6,6,8,8,452,
1,1,6,7,8,8,510,
2,1,6,7,8,8,510,
3,1,6,7,8,8,510,
4,1,6,7,8,8,510,
5,1,6,7,8,8,510,
6,1,6,7,8,8,510,
7,1,6,7,8,8,510,
8,1,6,7,8,8,510,
1,1,6,8,8,8,568,
2,1,6,8,8,8,568,
3,1,6,8,8,8,568,
4,1,6,8,8,8,568,
5,1,6,8,8,8,568,
6,1,6,8,8,8,568,
7,1,6,8,8,8,568,
8,1,6,8,8,8,568,
1,1,7,1,8,8,169,
2,1,7,1,8,8,169,
3,1,7,1,8,8,169,
4,1,7,1,8,8,169,
5,1,7,1,8,8,169,
6,1,7,1,8,8,169,
7,1,7,1,8,8,169,
8,1,7,1,8,8,169,
1,1,7,2,8,8,234,
2,1,7,2,8,8,234,
3,1,7,2,8,8,234,
4,1,7,2,8,8,234,
5,1,7,2,8,8,234,
6,1,7,2,8,8,234,
7,1,7,2,8,8,234,
8,1,7,2,8,8,234,
1,1,7,3,8,8,299,
2,1,7,3,8,8,299,
3,1,7,3,8,8,299,
4,1,7,3,8,8,299,
5,1,7,3,8,8,299,
6,1,7,3,8,8,299,
7,1,7,3,8,8,299,
8,1,7,3,8,8,299,
1,1,7,4,8,8,364,
2,1,7,4,8,8,364,
3,1,7,4,8,8,364,
4,1,7,4,8,8,364,
5,1,7,4,8,8,364,
6,1,7,4,8,8,364,
7,1,7,4,8,8,364,
8,1,7,4,8,8,364,
1,1,7,5,8,8,429,
2,1,7,5,8,8,429,
3,1,7,5,8,8,429,
4,1,7,5,8,8,429,
5,1,7,5,8,8,429,
6,1,7,5,8,8,429,
7,1,7,5,8,8,429,
8,1,7,5,8,8,429,
1,1,7,6,8,8,494,
2,1,7,6,8,8,494,
3,1,7,6,8,8,494,
4,1,7,6,8,8,494,
5,1,7,6,8,8,494,
6,1,7,6,8,8,494,
7,1,7,6,8,8,494,
