x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,w_row,w_col,w_row_depth,w_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,1,1,8,8,515,515,2.503,0,0,49,328,0,
1,1,1,1,8,8,2,1,1,1,8,8,516,516,2.404,0,0,57,342,0,
1,1,1,1,8,8,3,1,1,1,8,8,516,516,2.582,0,0,60,349,0,
1,1,1,1,8,8,4,1,1,1,8,8,516,516,2.733,0,0,65,354,0,
1,1,1,1,8,8,5,1,1,1,8,8,516,516,2.748,0,0,70,361,0,
1,1,1,1,8,8,6,1,1,1,8,8,516,516,2.746,0,0,71,364,0,
1,1,1,1,8,8,7,1,1,1,8,8,516,516,2.745,0,0,72,367,0,
1,1,1,1,8,8,8,1,1,1,8,8,516,516,2.77,0,0,81,378,0,
1,1,1,1,8,8,1,1,2,1,8,8,515,515,2.503,0,0,56,389,0,
1,1,1,1,8,8,2,1,2,1,8,8,516,516,2.404,0,0,69,431,0,
1,1,1,1,8,8,3,1,2,1,8,8,516,516,2.582,0,0,75,450,0,
1,1,1,1,8,8,4,1,2,1,8,8,516,516,2.733,0,0,85,461,0,
1,1,1,1,8,8,5,1,2,1,8,8,516,516,2.748,0,0,95,478,0,
1,1,1,1,8,8,6,1,2,1,8,8,516,516,2.746,0,0,97,487,0,
1,1,1,1,8,8,7,1,2,1,8,8,516,516,2.745,0,0,99,496,0,
1,1,1,1,8,8,8,1,2,1,8,8,516,516,2.77,0,0,117,521,0,
1,1,1,1,8,8,1,1,3,1,8,8,515,515,2.503,0,0,63,443,0,
1,1,1,1,8,8,2,1,3,1,8,8,516,516,2.404,0,0,81,513,0,
1,1,1,1,8,8,3,1,3,1,8,8,516,516,2.582,0,0,90,544,0,
1,1,1,1,8,8,4,1,3,1,8,8,516,516,2.733,0,0,105,561,0,
1,1,1,1,8,8,5,1,3,1,8,8,516,516,2.748,0,0,120,588,0,
1,1,1,1,8,8,6,1,3,1,8,8,516,516,2.746,0,0,123,603,0,
1,1,1,1,8,8,7,1,3,1,8,8,516,516,2.745,0,0,126,618,0,
1,1,1,1,8,8,8,1,3,1,8,8,516,516,2.77,0,0,153,657,0,
1,1,1,1,8,8,1,1,4,1,8,8,515,515,2.503,0,0,70,497,0,
1,1,1,1,8,8,2,1,4,1,8,8,516,516,2.404,0,0,93,595,0,
1,1,1,1,8,8,3,1,4,1,8,8,516,516,2.582,0,0,105,638,0,
1,1,1,1,8,8,4,1,4,1,8,8,516,516,2.733,0,0,125,661,0,
1,1,1,1,8,8,5,1,4,1,8,8,516,516,2.748,0,0,145,698,0,
1,1,1,1,8,8,6,1,4,1,8,8,516,516,2.746,0,0,149,719,0,
1,1,1,1,8,8,7,1,4,1,8,8,516,516,2.745,0,0,153,740,0,
1,1,1,1,8,8,8,1,4,1,8,8,516,516,2.77,0,0,189,793,0,
2,1,1,1,8,8,1,1,1,1,8,8,515,515,2.651,0,0,52,342,0,
2,1,1,1,8,8,2,1,1,1,8,8,516,516,2.404,0,0,59,338,0,
2,1,1,1,8,8,3,1,1,1,8,8,518,518,2.417,0,1,195,389,0,
2,1,1,1,8,8,4,1,1,1,8,8,518,518,2.417,0,1,195,389,0,
2,1,1,1,8,8,5,1,1,1,8,8,518,518,2.433,0,1,199,393,0,
2,1,1,1,8,8,6,1,1,1,8,8,518,518,2.433,0,1,199,393,0,
2,1,1,1,8,8,7,1,1,1,8,8,518,518,2.433,0,1,207,401,0,
2,1,1,1,8,8,8,1,1,1,8,8,518,518,2.433,0,1,207,401,0,
2,1,1,1,8,8,1,1,2,1,8,8,515,515,2.651,0,0,61,398,0,
2,1,1,1,8,8,2,1,2,1,8,8,516,516,2.404,0,0,72,419,0,
2,1,1,1,8,8,3,1,2,1,8,8,518,518,2.417,0,3,213,438,0,
2,1,1,1,8,8,4,1,2,1,8,8,518,518,2.417,0,3,213,438,0,
2,1,1,1,8,8,5,1,2,1,8,8,518,518,2.433,0,3,221,446,0,
2,1,1,1,8,8,6,1,2,1,8,8,518,518,2.433,0,3,221,446,0,
2,1,1,1,8,8,7,1,2,1,8,8,518,518,2.433,0,3,237,462,0,
2,1,1,1,8,8,8,1,2,1,8,8,518,518,2.433,0,3,237,462,0,
2,1,1,1,8,8,1,1,3,1,8,8,515,515,2.651,0,0,70,447,0,
2,1,1,1,8,8,2,1,3,1,8,8,516,516,2.404,0,0,85,493,0,
2,1,1,1,8,8,3,1,3,1,8,8,518,518,2.417,0,5,231,480,0,
2,1,1,1,8,8,4,1,3,1,8,8,518,518,2.417,0,5,231,480,0,
2,1,1,1,8,8,5,1,3,1,8,8,518,518,2.433,0,5,243,492,0,
2,1,1,1,8,8,6,1,3,1,8,8,518,518,2.433,0,5,243,492,0,
2,1,1,1,8,8,7,1,3,1,8,8,518,518,2.433,0,5,267,516,0,
2,1,1,1,8,8,8,1,3,1,8,8,518,518,2.433,0,5,267,516,0,
