x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,67,67,1.55,0,0,13,102,0,
1,1,1,1,8,8,2,1,67,67,2.142,0,0,15,113,0,
1,1,1,1,8,8,3,1,67,67,2.351,0,0,16,116,0,
1,1,1,1,8,8,4,1,67,67,2.414,0,0,17,117,0,
1,1,1,1,8,8,5,1,67,67,2.428,0,0,18,119,0,
1,1,1,1,8,8,6,1,67,67,2.442,0,0,19,121,0,
1,1,1,1,8,8,7,1,67,67,2.437,0,0,20,123,0,
1,1,1,1,8,8,8,1,67,67,2.436,0,0,21,125,0,
2,1,1,1,8,8,1,1,67,67,2.142,0,0,15,113,0,
2,1,1,1,8,8,2,1,67,67,1.828,0,0,16,107,0,
2,1,1,1,8,8,3,1,67,67,1.878,0,0,17,108,0,
2,1,1,1,8,8,4,1,67,67,2.208,0,0,18,111,0,
2,1,1,1,8,8,5,1,67,67,2.338,0,0,19,117,0,
2,1,1,1,8,8,6,1,67,67,2.658,0,0,20,123,0,
2,1,1,1,8,8,7,1,67,67,2.698,0,0,21,133,0,
2,1,1,1,8,8,8,1,68,68,1.55,0,0,34,140,0,
3,1,1,1,8,8,1,1,67,67,2.351,0,0,16,116,0,
3,1,1,1,8,8,2,1,67,67,1.878,0,0,17,108,0,
3,1,1,1,8,8,3,1,67,67,1.878,0,0,18,108,0,
3,1,1,1,8,8,4,1,67,67,2.208,0,0,19,111,0,
3,1,1,1,8,8,5,1,67,67,2.338,0,0,20,117,0,
3,1,1,1,8,8,6,1,67,67,2.658,0,0,21,123,0,
3,1,1,1,8,8,7,1,67,67,2.698,0,0,22,133,0,
3,1,1,1,8,8,8,1,68,68,1.55,0,0,36,140,0,
4,1,1,1,8,8,1,1,67,67,2.414,0,0,17,117,0,
4,1,1,1,8,8,2,1,67,67,2.208,0,0,18,111,0,
4,1,1,1,8,8,3,1,67,67,2.208,0,0,19,111,0,
4,1,1,1,8,8,4,1,67,67,2.208,0,0,20,111,0,
4,1,1,1,8,8,5,1,67,67,2.338,0,0,21,117,0,
4,1,1,1,8,8,6,1,67,67,2.658,0,0,22,123,0,
4,1,1,1,8,8,7,1,67,67,2.698,0,0,23,133,0,
4,1,1,1,8,8,8,1,68,68,1.55,0,0,38,140,0,
5,1,1,1,8,8,1,1,67,67,2.428,0,0,18,119,0,
5,1,1,1,8,8,2,1,67,67,2.338,0,0,19,117,0,
5,1,1,1,8,8,3,1,67,67,2.338,0,0,20,117,0,
5,1,1,1,8,8,4,1,67,67,2.338,0,0,21,117,0,
5,1,1,1,8,8,5,1,67,67,2.338,0,0,22,117,0,
5,1,1,1,8,8,6,1,67,67,2.658,0,0,23,123,0,
5,1,1,1,8,8,7,1,67,67,2.698,0,0,24,133,0,
5,1,1,1,8,8,8,1,68,68,1.55,0,0,40,140,0,
6,1,1,1,8,8,1,1,67,67,2.442,0,0,19,121,0,
6,1,1,1,8,8,2,1,67,67,2.658,0,0,20,123,0,
6,1,1,1,8,8,3,1,67,67,2.658,0,0,21,123,0,
6,1,1,1,8,8,4,1,67,67,2.658,0,0,22,123,0,
6,1,1,1,8,8,5,1,67,67,2.658,0,0,23,123,0,
6,1,1,1,8,8,6,1,67,67,2.658,0,0,24,123,0,
6,1,1,1,8,8,7,1,67,67,2.698,0,0,25,133,0,
6,1,1,1,8,8,8,1,68,68,1.55,0,0,42,140,0,
7,1,1,1,8,8,1,1,67,67,2.437,0,0,20,123,0,
7,1,1,1,8,8,2,1,67,67,2.698,0,0,21,133,0,
7,1,1,1,8,8,3,1,67,67,2.698,0,0,22,133,0,
7,1,1,1,8,8,4,1,67,67,2.698,0,0,23,133,0,
7,1,1,1,8,8,5,1,67,67,2.698,0,0,24,133,0,
7,1,1,1,8,8,6,1,67,67,2.698,0,0,25,133,0,
7,1,1,1,8,8,7,1,67,67,2.698,0,0,26,133,0,
7,1,1,1,8,8,8,1,68,68,1.55,0,0,44,140,0,
8,1,1,1,8,8,1,1,67,67,2.436,0,0,21,125,0,
8,1,1,1,8,8,2,1,68,68,1.55,0,0,34,140,0,
8,1,1,1,8,8,3,1,68,68,1.55,0,0,36,140,0,
8,1,1,1,8,8,4,1,68,68,1.55,0,0,38,140,0,
8,1,1,1,8,8,5,1,68,68,1.55,0,0,40,140,0,
8,1,1,1,8,8,6,1,68,68,1.55,0,0,42,140,0,
8,1,1,1,8,8,7,1,68,68,1.55,0,0,44,140,0,
8,1,1,1,8,8,8,1,68,68,1.55,0,0,46,140,0,
1,1,1,2,8,8,1,1,67,67,1.55,0,0,14,104,0,
1,1,1,2,8,8,2,1,67,67,2.142,0,0,18,126,0,
1,1,1,2,8,8,3,1,67,67,2.351,0,0,20,132,0,
1,1,1,2,8,8,4,1,67,67,2.414,0,0,22,134,0,
1,1,1,2,8,8,5,1,67,67,2.428,0,0,24,138,0,
1,1,1,2,8,8,6,1,67,67,2.442,0,0,26,142,0,
1,1,1,2,8,8,7,1,67,67,2.437,0,0,28,146,0,
1,1,1,2,8,8,8,1,67,67,2.436,0,0,30,150,0,
2,1,1,2,8,8,1,1,67,67,2.142,0,0,18,126,0,
2,1,1,2,8,8,2,1,67,67,1.828,0,0,20,114,0,
2,1,1,2,8,8,3,1,67,67,1.878,0,0,22,116,0,
2,1,1,2,8,8,4,1,67,67,2.208,0,0,24,122,0,
2,1,1,2,8,8,5,1,67,67,2.338,0,0,26,134,0,
2,1,1,2,8,8,6,1,67,67,2.658,0,0,28,146,0,
2,1,1,2,8,8,7,1,67,67,2.698,0,0,30,166,0,
2,1,1,2,8,8,8,1,68,68,1.55,0,0,54,180,0,
3,1,1,2,8,8,1,1,67,67,2.351,0,0,20,132,0,
3,1,1,2,8,8,2,1,67,67,1.878,0,0,22,116,0,
3,1,1,2,8,8,3,1,67,67,1.878,0,0,24,116,0,
3,1,1,2,8,8,4,1,67,67,2.208,0,0,26,122,0,
3,1,1,2,8,8,5,1,67,67,2.338,0,0,28,134,0,
3,1,1,2,8,8,6,1,67,67,2.658,0,0,30,146,0,
3,1,1,2,8,8,7,1,67,67,2.698,0,0,32,166,0,
3,1,1,2,8,8,8,1,68,68,1.55,0,0,58,180,0,
4,1,1,2,8,8,1,1,67,67,2.414,0,0,22,134,0,
4,1,1,2,8,8,2,1,67,67,2.208,0,0,24,122,0,
4,1,1,2,8,8,3,1,67,67,2.208,0,0,26,122,0,
4,1,1,2,8,8,4,1,67,67,2.208,0,0,28,122,0,
4,1,1,2,8,8,5,1,67,67,2.338,0,0,30,134,0,
4,1,1,2,8,8,6,1,67,67,2.658,0,0,32,146,0,
4,1,1,2,8,8,7,1,67,67,2.698,0,0,34,166,0,
4,1,1,2,8,8,8,1,68,68,1.55,0,0,62,180,0,
5,1,1,2,8,8,1,1,67,67,2.428,0,0,24,138,0,
5,1,1,2,8,8,2,1,67,67,2.338,0,0,26,134,0,
5,1,1,2,8,8,3,1,67,67,2.338,0,0,28,134,0,
5,1,1,2,8,8,4,1,67,67,2.338,0,0,30,134,0,
5,1,1,2,8,8,5,1,67,67,2.338,0,0,32,134,0,
5,1,1,2,8,8,6,1,67,67,2.658,0,0,34,146,0,
5,1,1,2,8,8,7,1,67,67,2.698,0,0,36,166,0,
5,1,1,2,8,8,8,1,68,68,1.55,0,0,66,180,0,
6,1,1,2,8,8,1,1,67,67,2.442,0,0,26,142,0,
6,1,1,2,8,8,2,1,67,67,2.658,0,0,28,146,0,
6,1,1,2,8,8,3,1,67,67,2.658,0,0,30,146,0,
6,1,1,2,8,8,4,1,67,67,2.658,0,0,32,146,0,
6,1,1,2,8,8,5,1,67,67,2.658,0,0,34,146,0,
6,1,1,2,8,8,6,1,67,67,2.658,0,0,36,146,0,
6,1,1,2,8,8,7,1,67,67,2.698,0,0,38,166,0,
6,1,1,2,8,8,8,1,68,68,1.55,0,0,70,180,0,
7,1,1,2,8,8,1,1,67,67,2.437,0,0,28,146,0,
7,1,1,2,8,8,2,1,67,67,2.698,0,0,30,166,0,
7,1,1,2,8,8,3,1,67,67,2.698,0,0,32,166,0,
7,1,1,2,8,8,4,1,67,67,2.698,0,0,34,166,0,
7,1,1,2,8,8,5,1,67,67,2.698,0,0,36,166,0,
7,1,1,2,8,8,6,1,67,67,2.698,0,0,38,166,0,
7,1,1,2,8,8,7,1,67,67,2.698,0,0,40,166,0,
7,1,1,2,8,8,8,1,68,68,1.55,0,0,74,180,0,
8,1,1,2,8,8,1,1,67,67,2.436,0,0,30,150,0,
8,1,1,2,8,8,2,1,68,68,1.55,0,0,54,180,0,
8,1,1,2,8,8,3,1,68,68,1.55,0,0,58,180,0,
8,1,1,2,8,8,4,1,68,68,1.55,0,0,62,180,0,
8,1,1,2,8,8,5,1,68,68,1.55,0,0,66,180,0,
8,1,1,2,8,8,6,1,68,68,1.55,0,0,70,180,0,
8,1,1,2,8,8,7,1,68,68,1.55,0,0,74,180,0,
8,1,1,2,8,8,8,1,68,68,1.55,0,0,78,180,0,
1,1,1,3,8,8,1,1,67,67,1.55,0,0,15,106,0,
1,1,1,3,8,8,2,1,67,67,2.142,0,0,21,139,0,
1,1,1,3,8,8,3,1,67,67,2.351,0,0,24,148,0,
1,1,1,3,8,8,4,1,67,67,2.414,0,0,27,151,0,
1,1,1,3,8,8,5,1,67,67,2.428,0,0,30,157,0,
1,1,1,3,8,8,6,1,67,67,2.442,0,0,33,163,0,
1,1,1,3,8,8,7,1,67,67,2.437,0,0,36,169,0,
1,1,1,3,8,8,8,1,67,67,2.436,0,0,39,175,0,
2,1,1,3,8,8,1,1,67,67,2.142,0,0,21,139,0,
2,1,1,3,8,8,2,1,67,67,1.828,0,0,24,121,0,
2,1,1,3,8,8,3,1,67,67,1.878,0,0,27,124,0,
2,1,1,3,8,8,4,1,67,67,2.208,0,0,30,133,0,
2,1,1,3,8,8,5,1,67,67,2.338,0,0,33,151,0,
2,1,1,3,8,8,6,1,67,67,2.658,0,0,36,169,0,
2,1,1,3,8,8,7,1,67,67,2.698,0,0,39,199,0,
2,1,1,3,8,8,8,1,68,68,1.55,0,0,74,220,0,
3,1,1,3,8,8,1,1,67,67,2.351,0,0,24,148,0,
3,1,1,3,8,8,2,1,67,67,1.878,0,0,27,124,0,
3,1,1,3,8,8,3,1,67,67,1.878,0,0,30,124,0,
3,1,1,3,8,8,4,1,67,67,2.208,0,0,33,133,0,
3,1,1,3,8,8,5,1,67,67,2.338,0,0,36,151,0,
3,1,1,3,8,8,6,1,67,67,2.658,0,0,39,169,0,
3,1,1,3,8,8,7,1,67,67,2.698,0,0,42,199,0,
3,1,1,3,8,8,8,1,68,68,1.55,0,0,80,220,0,
4,1,1,3,8,8,1,1,67,67,2.414,0,0,27,151,0,
4,1,1,3,8,8,2,1,67,67,2.208,0,0,30,133,0,
4,1,1,3,8,8,3,1,67,67,2.208,0,0,33,133,0,
4,1,1,3,8,8,4,1,67,67,2.208,0,0,36,133,0,
4,1,1,3,8,8,5,1,67,67,2.338,0,0,39,151,0,
4,1,1,3,8,8,6,1,67,67,2.658,0,0,42,169,0,
4,1,1,3,8,8,7,1,67,67,2.698,0,0,45,199,0,
4,1,1,3,8,8,8,1,68,68,1.55,0,0,86,220,0,
5,1,1,3,8,8,1,1,67,67,2.428,0,0,30,157,0,
5,1,1,3,8,8,2,1,67,67,2.338,0,0,33,151,0,
5,1,1,3,8,8,3,1,67,67,2.338,0,0,36,151,0,
5,1,1,3,8,8,4,1,67,67,2.338,0,0,39,151,0,
5,1,1,3,8,8,5,1,67,67,2.338,0,0,42,151,0,
5,1,1,3,8,8,6,1,67,67,2.658,0,0,45,169,0,
5,1,1,3,8,8,7,1,67,67,2.698,0,0,48,199,0,
5,1,1,3,8,8,8,1,68,68,1.55,0,0,92,220,0,
6,1,1,3,8,8,1,1,67,67,2.442,0,0,33,163,0,
6,1,1,3,8,8,2,1,67,67,2.658,0,0,36,169,0,
6,1,1,3,8,8,3,1,67,67,2.658,0,0,39,169,0,
6,1,1,3,8,8,4,1,67,67,2.658,0,0,42,169,0,
6,1,1,3,8,8,5,1,67,67,2.658,0,0,45,169,0,
6,1,1,3,8,8,6,1,67,67,2.658,0,0,48,169,0,
6,1,1,3,8,8,7,1,67,67,2.698,0,0,51,199,0,
6,1,1,3,8,8,8,1,68,68,1.55,0,0,98,220,0,
7,1,1,3,8,8,1,1,67,67,2.437,0,0,36,169,0,
7,1,1,3,8,8,2,1,67,67,2.698,0,0,39,199,0,
7,1,1,3,8,8,3,1,67,67,2.698,0,0,42,199,0,
7,1,1,3,8,8,4,1,67,67,2.698,0,0,45,199,0,
7,1,1,3,8,8,5,1,67,67,2.698,0,0,48,199,0,
7,1,1,3,8,8,6,1,67,67,2.698,0,0,51,199,0,
7,1,1,3,8,8,7,1,67,67,2.698,0,0,54,199,0,
7,1,1,3,8,8,8,1,68,68,1.55,0,0,104,220,0,
8,1,1,3,8,8,1,1,67,67,2.436,0,0,39,175,0,
8,1,1,3,8,8,2,1,68,68,1.55,0,0,74,220,0,
8,1,1,3,8,8,3,1,68,68,1.55,0,0,80,220,0,
8,1,1,3,8,8,4,1,68,68,1.55,0,0,86,220,0,
8,1,1,3,8,8,5,1,68,68,1.55,0,0,92,220,0,
8,1,1,3,8,8,6,1,68,68,1.55,0,0,98,220,0,
8,1,1,3,8,8,7,1,68,68,1.55,0,0,104,220,0,
8,1,1,3,8,8,8,1,68,68,1.55,0,0,110,220,0,
1,1,1,4,8,8,1,1,67,67,1.55,0,0,16,108,0,
1,1,1,4,8,8,2,1,67,67,2.142,0,0,24,152,0,
1,1,1,4,8,8,3,1,67,67,2.351,0,0,28,164,0,
1,1,1,4,8,8,4,1,67,67,2.414,0,0,32,168,0,
1,1,1,4,8,8,5,1,67,67,2.428,0,0,36,176,0,
1,1,1,4,8,8,6,1,67,67,2.442,0,0,40,184,0,
1,1,1,4,8,8,7,1,67,67,2.437,0,0,44,192,0,
1,1,1,4,8,8,8,1,67,67,2.436,0,0,48,200,0,
2,1,1,4,8,8,1,1,67,67,2.142,0,0,24,152,0,
2,1,1,4,8,8,2,1,67,67,1.828,0,0,28,128,0,
2,1,1,4,8,8,3,1,67,67,1.878,0,0,32,132,0,
2,1,1,4,8,8,4,1,67,67,2.208,0,0,36,144,0,
2,1,1,4,8,8,5,1,67,67,2.338,0,0,40,168,0,
2,1,1,4,8,8,6,1,67,67,2.658,0,0,44,192,0,
2,1,1,4,8,8,7,1,67,67,2.698,0,0,48,232,0,
