x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,1,8,8,67,67,1.55,0,0,13,93,0,
3,1,1,1,8,8,67,67,1.706,0,0,14,91,0,
4,1,1,1,8,8,67,67,1.706,0,0,15,92,0,
5,1,1,1,8,8,67,67,1.779,0,0,16,93,0,
6,1,1,1,8,8,67,67,1.706,0,0,17,94,0,
7,1,1,1,8,8,67,67,1.721,0,0,18,95,0,
8,1,1,1,8,8,67,67,1.736,0,0,19,96,0,
1,1,1,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,2,8,8,67,67,1.55,0,0,14,97,0,
3,1,1,2,8,8,67,67,1.706,0,0,16,93,0,
4,1,1,2,8,8,67,67,1.706,0,0,18,95,0,
5,1,1,2,8,8,67,67,1.779,0,0,20,97,0,
6,1,1,2,8,8,67,67,1.706,0,0,22,99,0,
7,1,1,2,8,8,67,67,1.721,0,0,24,101,0,
8,1,1,2,8,8,67,67,1.736,0,0,26,103,0,
1,1,1,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,3,8,8,67,67,1.55,0,0,15,101,0,
3,1,1,3,8,8,67,67,1.706,0,0,18,95,0,
4,1,1,3,8,8,67,67,1.706,0,0,21,98,0,
5,1,1,3,8,8,67,67,1.779,0,0,24,101,0,
6,1,1,3,8,8,67,67,1.706,0,0,27,104,0,
7,1,1,3,8,8,67,67,1.721,0,0,30,107,0,
8,1,1,3,8,8,67,67,1.736,0,0,33,110,0,
1,1,1,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,4,8,8,67,67,1.55,0,0,16,105,0,
3,1,1,4,8,8,67,67,1.706,0,0,20,97,0,
4,1,1,4,8,8,67,67,1.706,0,0,24,101,0,
5,1,1,4,8,8,67,67,1.779,0,0,28,105,0,
6,1,1,4,8,8,67,67,1.706,0,0,32,109,0,
7,1,1,4,8,8,67,67,1.721,0,0,36,113,0,
8,1,1,4,8,8,67,67,1.736,0,0,40,117,0,
1,1,1,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,5,8,8,67,67,1.55,0,0,17,109,0,
3,1,1,5,8,8,67,67,1.706,0,0,22,99,0,
4,1,1,5,8,8,67,67,1.706,0,0,27,104,0,
5,1,1,5,8,8,67,67,1.779,0,0,32,109,0,
6,1,1,5,8,8,67,67,1.706,0,0,37,114,0,
7,1,1,5,8,8,67,67,1.721,0,0,42,119,0,
8,1,1,5,8,8,67,67,1.736,0,0,47,124,0,
1,1,1,6,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,6,8,8,67,67,1.55,0,0,18,113,0,
3,1,1,6,8,8,67,67,1.706,0,0,24,101,0,
4,1,1,6,8,8,67,67,1.706,0,0,30,107,0,
5,1,1,6,8,8,67,67,1.779,0,0,36,113,0,
6,1,1,6,8,8,67,67,1.706,0,0,42,119,0,
7,1,1,6,8,8,67,67,1.721,0,0,48,125,0,
8,1,1,6,8,8,67,67,1.736,0,0,54,131,0,
1,1,1,7,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,7,8,8,67,67,1.55,0,0,19,117,0,
3,1,1,7,8,8,67,67,1.706,0,0,26,103,0,
4,1,1,7,8,8,67,67,1.706,0,0,33,110,0,
5,1,1,7,8,8,67,67,1.779,0,0,40,117,0,
6,1,1,7,8,8,67,67,1.706,0,0,47,124,0,
7,1,1,7,8,8,67,67,1.721,0,0,54,131,0,
8,1,1,7,8,8,67,67,1.736,0,0,61,138,0,
1,1,1,8,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,8,8,8,67,67,1.55,0,0,20,121,0,
3,1,1,8,8,8,67,67,1.706,0,0,28,105,0,
4,1,1,8,8,8,67,67,1.706,0,0,36,113,0,
5,1,1,8,8,8,67,67,1.779,0,0,44,121,0,
6,1,1,8,8,8,67,67,1.706,0,0,52,129,0,
7,1,1,8,8,8,67,67,1.721,0,0,60,137,0,
8,1,1,8,8,8,67,67,1.736,0,0,68,145,0,
1,1,2,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,1,8,8,67,67,1.55,0,0,14,97,0,
3,1,2,1,8,8,67,67,1.706,0,0,16,93,0,
4,1,2,1,8,8,67,67,1.706,0,0,18,95,0,
5,1,2,1,8,8,67,67,1.779,0,0,20,97,0,
6,1,2,1,8,8,67,67,1.706,0,0,22,99,0,
7,1,2,1,8,8,67,67,1.721,0,0,24,101,0,
8,1,2,1,8,8,67,67,1.736,0,0,26,103,0,
1,1,2,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,2,8,8,67,67,1.55,0,0,16,105,0,
3,1,2,2,8,8,67,67,1.706,0,0,20,97,0,
4,1,2,2,8,8,67,67,1.706,0,0,24,101,0,
5,1,2,2,8,8,67,67,1.779,0,0,28,105,0,
6,1,2,2,8,8,67,67,1.706,0,0,32,109,0,
7,1,2,2,8,8,67,67,1.721,0,0,36,113,0,
8,1,2,2,8,8,67,67,1.736,0,0,40,117,0,
1,1,2,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,3,8,8,67,67,1.55,0,0,18,113,0,
3,1,2,3,8,8,67,67,1.706,0,0,24,101,0,
4,1,2,3,8,8,67,67,1.706,0,0,30,107,0,
5,1,2,3,8,8,67,67,1.779,0,0,36,113,0,
6,1,2,3,8,8,67,67,1.706,0,0,42,119,0,
7,1,2,3,8,8,67,67,1.721,0,0,48,125,0,
8,1,2,3,8,8,67,67,1.736,0,0,54,131,0,
1,1,2,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,4,8,8,67,67,1.55,0,0,20,121,0,
3,1,2,4,8,8,67,67,1.706,0,0,28,105,0,
4,1,2,4,8,8,67,67,1.706,0,0,36,113,0,
5,1,2,4,8,8,67,67,1.779,0,0,44,121,0,
6,1,2,4,8,8,67,67,1.706,0,0,52,129,0,
7,1,2,4,8,8,67,67,1.721,0,0,60,137,0,
8,1,2,4,8,8,67,67,1.736,0,0,68,145,0,
1,1,2,5,8,8,66,66,1.428,0,0,10,91,0,
2,1,2,5,8,8,67,67,1.55,0,0,22,129,0,
3,1,2,5,8,8,67,67,1.706,0,0,32,109,0,
4,1,2,5,8,8,67,67,1.706,0,0,42,119,0,
