x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,loc,
1,1,1,1,8,8,35,
2,1,1,1,8,8,35,
3,1,1,1,8,8,35,
4,1,1,1,8,8,35,
5,1,1,1,8,8,35,
6,1,1,1,8,8,35,
7,1,1,1,8,8,35,
8,1,1,1,8,8,35,
1,1,1,2,8,8,40,
2,1,1,2,8,8,40,
3,1,1,2,8,8,40,
4,1,1,2,8,8,40,
5,1,1,2,8,8,40,
6,1,1,2,8,8,40,
7,1,1,2,8,8,40,
8,1,1,2,8,8,40,
1,1,1,3,8,8,45,
2,1,1,3,8,8,45,
3,1,1,3,8,8,45,
4,1,1,3,8,8,45,
5,1,1,3,8,8,45,
6,1,1,3,8,8,45,
7,1,1,3,8,8,45,
8,1,1,3,8,8,45,
1,1,1,4,8,8,50,
2,1,1,4,8,8,50,
3,1,1,4,8,8,50,
4,1,1,4,8,8,50,
5,1,1,4,8,8,50,
6,1,1,4,8,8,50,
7,1,1,4,8,8,50,
8,1,1,4,8,8,50,
1,1,1,5,8,8,55,
2,1,1,5,8,8,55,
3,1,1,5,8,8,55,
4,1,1,5,8,8,55,
5,1,1,5,8,8,55,
6,1,1,5,8,8,55,
7,1,1,5,8,8,55,
8,1,1,5,8,8,55,
1,1,1,6,8,8,60,
2,1,1,6,8,8,60,
3,1,1,6,8,8,60,
4,1,1,6,8,8,60,
5,1,1,6,8,8,60,
6,1,1,6,8,8,60,
7,1,1,6,8,8,60,
8,1,1,6,8,8,60,
1,1,1,7,8,8,65,
2,1,1,7,8,8,65,
3,1,1,7,8,8,65,
4,1,1,7,8,8,65,
5,1,1,7,8,8,65,
6,1,1,7,8,8,65,
7,1,1,7,8,8,65,
8,1,1,7,8,8,65,
1,1,1,8,8,8,70,
2,1,1,8,8,8,70,
3,1,1,8,8,8,70,
4,1,1,8,8,8,70,
5,1,1,8,8,8,70,
6,1,1,8,8,8,70,
7,1,1,8,8,8,70,
8,1,1,8,8,8,70,
1,1,2,1,8,8,40,
2,1,2,1,8,8,40,
3,1,2,1,8,8,40,
4,1,2,1,8,8,40,
5,1,2,1,8,8,40,
6,1,2,1,8,8,40,
7,1,2,1,8,8,40,
8,1,2,1,8,8,40,
1,1,2,2,8,8,50,
2,1,2,2,8,8,50,
3,1,2,2,8,8,50,
4,1,2,2,8,8,50,
5,1,2,2,8,8,50,
6,1,2,2,8,8,50,
7,1,2,2,8,8,50,
8,1,2,2,8,8,50,
1,1,2,3,8,8,60,
