x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,2,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,3,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,4,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,5,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,6,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,7,1,67,67,2.134,0,0,29,203,0,
1,1,1,1,8,8,8,1,67,67,2.134,0,0,29,203,0,
2,1,1,1,8,8,1,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,2,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,3,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,4,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,5,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,6,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,7,1,68,68,2.467,0,0,44,293,0,
2,1,1,1,8,8,8,1,68,68,2.467,0,0,44,293,0,
3,1,1,1,8,8,1,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,2,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,3,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,4,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,5,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,6,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,7,1,68,68,2.529,0,0,51,298,0,
3,1,1,1,8,8,8,1,68,68,2.529,0,0,51,298,0,
4,1,1,1,8,8,1,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,2,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,3,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,4,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,5,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,6,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,7,1,143,143,2.859,0,0,173,758,0,
4,1,1,1,8,8,8,1,143,143,2.859,0,0,173,758,0,
5,1,1,1,8,8,1,1,144,144,2.516,0,0,226,803,0,
5,1,1,1,8,8,2,1,144,144,2.516,0,0,226,803,0,
5,1,1,1,8,8,3,1,144,144,2.516,0,0,226,803,0,
