x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,w_width,w_frac_width,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,1,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,2,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,3,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,4,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,5,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,6,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,7,1,100,100,2.609,0,0,59,390,0,
1,1,1,1,8,8,8,1,100,100,2.609,0,0,59,390,0,
2,1,1,1,8,8,1,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,2,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,3,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,4,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,5,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,6,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,7,1,100,100,2.609,0,0,58,399,0,
2,1,1,1,8,8,8,1,100,100,2.609,0,0,58,399,0,
3,1,1,1,8,8,1,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,2,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,3,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,4,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,5,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,6,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,7,1,100,100,2.609,0,0,71,411,0,
3,1,1,1,8,8,8,1,100,100,2.609,0,0,71,411,0,
4,1,1,1,8,8,1,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,2,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,3,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,4,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,5,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,6,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,7,1,102,102,2.609,0,1,88,394,0,
4,1,1,1,8,8,8,1,102,102,2.609,0,1,88,394,0,
5,1,1,1,8,8,1,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,2,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,3,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,4,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,5,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,6,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,7,1,102,102,2.609,0,1,114,414,0,
5,1,1,1,8,8,8,1,102,102,2.609,0,1,114,414,0,
6,1,1,1,8,8,1,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,2,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,3,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,4,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,5,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,6,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,7,1,102,102,2.609,0,1,116,420,0,
6,1,1,1,8,8,8,1,102,102,2.609,0,1,116,420,0,
7,1,1,1,8,8,1,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,2,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,3,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,4,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,5,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,6,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,7,1,102,102,2.609,0,1,118,430,0,
7,1,1,1,8,8,8,1,102,102,2.609,0,1,118,430,0,
8,1,1,1,8,8,1,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,2,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,3,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,4,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,5,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,6,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,7,1,102,102,2.862,0,1,120,437,0,
8,1,1,1,8,8,8,1,102,102,2.862,0,1,120,437,0,
1,1,1,2,8,8,1,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,2,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,3,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,4,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,5,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,6,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,7,1,100,100,2.609,0,0,65,409,0,
1,1,1,2,8,8,8,1,100,100,2.609,0,0,65,409,0,
2,1,1,2,8,8,1,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,2,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,3,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,4,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,5,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,6,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,7,1,100,100,2.609,0,0,72,433,0,
2,1,1,2,8,8,8,1,100,100,2.609,0,0,72,433,0,
3,1,1,2,8,8,1,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,2,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,3,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,4,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,5,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,6,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,7,1,100,100,2.609,0,0,98,455,0,
3,1,1,2,8,8,8,1,100,100,2.609,0,0,98,455,0,
4,1,1,2,8,8,1,1,102,102,2.609,0,2,120,421,0,
4,1,1,2,8,8,2,1,102,102,2.609,0,2,120,421,0,
4,1,1,2,8,8,3,1,102,102,2.609,0,2,120,421,0,
4,1,1,2,8,8,4,1,102,102,2.609,0,2,120,421,0,
4,1,1,2,8,8,5,1,102,102,2.609,0,2,120,421,0,
