x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,1,8,8,86,86,2.66,0,3,697,598,0,
3,1,1,1,8,8,86,86,2.699,0,3,1223,1035,0,
4,1,1,1,8,8,86,86,2.871,0,3,1429,1189,0,
5,1,1,1,8,8,86,86,2.87,0,3,1481,1246,0,
6,1,1,1,8,8,87,87,2.66,0,3,1359,1167,0,
7,1,1,1,8,8,86,86,2.869,0,3,1481,1236,0,
8,1,1,1,8,8,86,86,2.868,0,3,1481,1241,0,
1,1,1,2,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,2,8,8,86,86,2.66,0,6,1279,1075,0,
3,1,1,2,8,8,86,86,2.699,0,6,2331,1949,0,
4,1,1,2,8,8,86,86,2.871,0,6,2743,2257,0,
5,1,1,2,8,8,86,86,2.87,0,6,2847,2371,0,
6,1,1,2,8,8,87,87,2.66,0,6,2601,2213,0,
7,1,1,2,8,8,86,86,2.869,0,6,2847,2351,0,
8,1,1,2,8,8,86,86,2.868,0,6,2847,2361,0,
1,1,1,3,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,3,8,8,86,86,2.66,0,9,1861,1552,0,
3,1,1,3,8,8,86,86,2.699,0,9,3439,2863,0,
4,1,1,3,8,8,86,86,2.871,0,9,4057,3325,0,
5,1,1,3,8,8,86,86,2.87,0,9,4213,3496,0,
6,1,1,3,8,8,87,87,2.66,0,9,3843,3259,0,
7,1,1,3,8,8,86,86,2.869,0,9,4213,3466,0,
8,1,1,3,8,8,86,86,2.868,0,9,4213,3481,0,
1,1,1,4,8,8,66,66,1.428,0,0,10,91,0,
2,1,1,4,8,8,86,86,2.66,0,12,2443,2029,0,
3,1,1,4,8,8,86,86,2.699,0,12,4547,3777,0,
4,1,1,4,8,8,86,86,2.871,0,12,5371,4393,0,
5,1,1,4,8,8,86,86,2.87,0,12,5579,4621,0,
6,1,1,4,8,8,87,87,2.66,0,12,5085,4305,0,
7,1,1,4,8,8,86,86,2.869,0,12,5579,4581,0,
