x_width,x_frac_width,x_row,x_col,x_row_depth,x_col_depth,latency_min,latency_max,clock_period,bram,dsp,ff,lut,uram,
1,1,1,1,8,8,73,73,2.154,0,0,96,387,0,
2,1,1,1,8,8,74,74,2.837,0,0,122,411,0,
3,1,1,1,8,8,75,75,2.824,0,0,153,436,0,
4,1,1,1,8,8,77,77,2.818,0,0,194,508,0,
5,1,1,1,8,8,79,79,2.78,0,0,276,530,0,
6,1,1,1,8,8,80,80,2.779,0,0,307,547,0,
7,1,1,1,8,8,81,81,2.83,0,0,344,563,0,
8,1,1,1,8,8,82,82,2.778,0,0,412,637,0,
1,1,1,2,8,8,73,73,2.154,0,0,133,413,0,
2,1,1,2,8,8,74,74,2.81,0,0,186,465,0,
3,1,1,2,8,8,75,75,2.787,0,0,246,513,0,
4,1,1,2,8,8,77,77,2.781,0,0,323,655,0,
5,1,1,2,8,8,79,79,2.761,0,0,481,705,0,
6,1,1,2,8,8,80,80,2.76,0,0,541,739,0,
7,1,1,2,8,8,81,81,2.83,0,0,613,771,0,
8,1,1,2,8,8,82,82,2.759,0,0,747,919,0,
1,1,1,3,8,8,73,73,2.154,0,0,178,443,0,
2,1,1,3,8,8,74,74,2.773,0,0,258,521,0,
3,1,1,3,8,8,75,75,2.768,0,0,355,600,0,
4,1,1,3,8,8,77,77,2.762,0,0,468,812,0,
5,1,1,3,8,8,79,79,2.761,0,0,654,864,0,
6,1,1,3,8,8,80,80,2.812,0,0,807,949,0,
7,1,1,3,8,8,81,81,2.83,0,0,914,997,0,
8,1,1,3,8,8,82,82,2.811,0,0,1114,1219,0,
1,1,1,4,8,8,73,73,2.154,0,0,215,469,0,
2,1,1,4,8,8,74,74,2.773,0,0,314,571,0,
3,1,1,4,8,8,75,75,2.768,0,0,432,671,0,
4,1,1,4,8,8,77,77,2.762,0,0,581,953,0,
5,1,1,4,8,8,79,79,2.813,0,0,891,1057,0,
6,1,1,4,8,8,80,80,2.812,0,0,1009,1125,0,
7,1,1,4,8,8,81,81,2.83,0,0,1151,1189,0,
8,1,1,4,8,8,82,82,2.811,0,0,1417,1485,0,
1,1,1,5,8,8,73,73,2.154,0,0,268,501,0,
2,1,1,5,8,8,74,74,2.754,0,0,402,637,0,
3,1,1,5,8,8,75,75,2.768,0,0,509,742,0,
4,1,1,5,8,8,77,77,2.814,0,0,758,1128,0,
5,1,1,5,8,8,79,79,2.813,0,0,1064,1216,0,
6,1,1,5,8,8,80,80,2.812,0,0,1211,1301,0,
7,1,1,5,8,8,81,81,2.83,0,0,1518,1447,0,
8,1,1,5,8,8,82,82,2.822,0,0,1850,1817,0,
1,1,1,6,8,8,73,73,2.154,0,0,305,527,0,
2,1,1,6,8,8,74,74,2.754,0,0,458,687,0,
3,1,1,6,8,8,75,75,2.82,0,0,650,847,0,
4,1,1,6,8,8,77,77,2.814,0,0,871,1269,0,
5,1,1,6,8,8,79,79,2.813,0,0,1237,1375,0,
6,1,1,6,8,8,80,80,2.824,0,0,1543,1543,0,
7,1,1,6,8,8,81,81,2.83,0,0,1755,1639,0,
8,1,1,6,8,8,82,82,2.822,0,0,2153,2083,0,
1,1,1,7,8,8,73,73,2.195,0,0,339,553,0,
2,1,1,7,8,8,74,74,2.754,0,0,514,737,0,
3,1,1,7,8,8,75,75,2.82,0,0,727,918,0,
4,1,1,7,8,8,77,77,2.814,0,0,984,1410,0,
5,1,1,7,8,8,79,79,2.824,0,0,1540,1600,0,
6,1,1,7,8,8,80,80,2.824,0,0,1745,1719,0,
7,1,1,7,8,8,81,81,2.83,0,0,1992,1831,0,
8,1,1,7,8,8,82,82,2.822,0,0,2456,2349,0,
1,1,1,8,8,8,73,73,2.195,0,0,376,579,0,
2,1,1,8,8,8,74,74,2.754,0,0,570,787,0,
3,1,1,8,8,8,75,75,2.82,0,0,804,989,0,
4,1,1,8,8,8,77,77,2.814,0,0,1097,1551,0,
5,1,1,8,8,8,79,79,2.824,0,0,1713,1759,0,
6,1,1,8,8,8,80,80,2.824,0,0,1947,1895,0,
7,1,1,8,8,8,81,81,2.83,0,0,2229,2023,0,
8,1,1,8,8,8,82,82,2.822,0,0,2759,2615,0,
1,1,2,1,8,8,73,73,2.154,0,0,130,409,0,
2,1,2,1,8,8,74,74,2.56,0,0,178,447,0,
3,1,2,1,8,8,75,75,2.649,0,0,232,495,0,
4,1,2,1,8,8,77,77,2.839,0,0,307,638,0,
5,1,2,1,8,8,79,79,2.844,0,0,455,688,0,
6,1,2,1,8,8,80,80,2.668,0,0,504,725,0,
7,1,2,1,8,8,81,81,2.83,0,0,573,760,0,
8,1,2,1,8,8,82,82,2.587,0,0,712,911,0,
1,1,2,2,8,8,73,73,2.154,0,0,205,459,0,
2,1,2,2,8,8,74,74,2.533,0,0,298,536,0,
3,1,2,2,8,8,75,75,2.612,0,0,404,633,0,
4,1,2,2,8,8,77,77,2.802,0,0,549,917,0,
5,1,2,2,8,8,79,79,2.825,0,0,839,1022,0,
6,1,2,2,8,8,80,80,2.642,0,0,950,1096,0,
7,1,2,2,8,8,81,81,2.83,0,0,1088,1166,0,
8,1,2,2,8,8,82,82,2.587,0,0,1350,1468,0,
1,1,2,3,8,8,73,73,2.154,0,0,288,512,0,
2,1,2,3,8,8,74,74,2.496,0,0,430,631,0,
3,1,2,3,8,8,75,75,2.594,0,0,600,785,0,
4,1,2,3,8,8,77,77,2.783,0,0,815,1210,0,
5,1,2,3,8,8,79,79,2.825,0,0,1175,1331,0,
6,1,2,3,8,8,80,80,2.642,0,0,1439,1492,0,
7,1,2,3,8,8,81,81,2.83,0,0,1645,1597,0,
8,1,2,3,8,8,82,82,2.587,0,0,2044,2050,0,
1,1,2,4,8,8,73,73,2.154,0,0,359,560,0,
2,1,2,4,8,8,74,74,2.496,0,0,538,715,0,
